Sec,NanoSec,0-ref Sec,v_x,v_y,v_z,w_x,w_y,w_z
1633451994,139810562.1,0,-0.131945372,-0.004924482,-0.060951281,0,6.30E-36,1.91E-16
1633451994,173221111.3,0.033410549,-0.022895663,-0.000722152,-0.04778758,0,6.37E-36,1.93E-16
1633451994,207046270.4,0.067235708,-0.025607529,-0.00100002,0.000564713,-0.007080633,-0.000274793,-0.000311065
1633451994,240432739.3,0.100622177,0.111909152,0.004301124,0.015955621,2.20E-34,0,1.27E-16
1633451994,273249149.3,0.133438587,0.047932048,0.001889917,-0.005972421,0.007323146,0.000284204,0.000321719
1633451994,323167324.1,0.183356762,0.042583218,0.001665681,-0.000341245,0.000303074,-0.003646168,-0.003677738
1633451994,373140811.9,0.23333025,0.006770654,0.00016202,0.029171327,0,2.08E-16,4.33E-19
1633451994,406456232.1,0.26664567,0.022792446,0.000786016,0.030358839,0,2.09E-16,4.35E-19
1633451994,439751148.2,0.299940586,-0.037943602,-0.001530129,0.011949062,0,2.08E-16,4.33E-19
1633451994,473156929,0.333346367,0.020007402,0.000734776,0.013578529,-0.007284018,-0.000284475,-0.000318226
1633451994,506680250.2,0.366869688,0.012513859,0.000450163,0.010719688,0,-2.07E-16,1.53E-17
1633451994,539999246.6,0.400188684,0.010897441,0.000390738,0.009671932,0,-2.10E-16,1.56E-17
1633451994,589731216.4,0.449920654,0.004871452,0.000174588,0.004345401,0,-1.04E-16,7.75E-18
1633451994,639788150.8,0.499977589,0.008680662,0.000311086,0.007748637,0,-2.06E-16,1.53E-17
1633451994,673277378.1,0.533466816,0.007956848,0.000285145,0.007103213,0,-2.09E-16,1.55E-17
1633451994,706427574.2,0.566617012,0.007257568,0.000260085,0.006479039,0,-2.10E-16,1.56E-17
1633451994,739696264.3,0.599885702,0.006473724,0.000231994,0.00577929,0,-2.07E-16,1.54E-17
1633451994,773154258.7,0.633343697,0.005879382,0.000210695,0.005248705,0,-2.08E-16,1.54E-17
1633451994,806816577.9,0.667006016,0.005240625,0.000187805,0.004678467,0,-2.05E-16,1.52E-17
1633451994,840145587.9,0.700335026,0.0049157,0.000176161,0.004388398,0,-2.12E-16,1.57E-17
1633451994,873220205.3,0.733409643,0.004359585,0.000156231,0.003891936,0,-2.08E-16,1.54E-17
1633451994,906487703.3,0.766677141,0.003980982,0.000142664,0.003553947,0,-2.09E-16,1.55E-17
1633451994,939654350.3,0.799843788,0.003593963,0.000128794,0.003208443,0,-2.09E-16,1.55E-17
1633451994,973076820.4,0.833266258,0.00321237,0.000115119,0.002867783,0,-2.06E-16,1.53E-17
1633451995,6578683.853,0.866768122,0.002930858,0.000105031,0.002616469,0,-2.08E-16,1.54E-17
1633451995,39891242.98,0.900080681,0.002662201,9.54E-05,0.002376631,0,-2.09E-16,1.55E-17
1633451995,73189735.41,0.933379173,0.002403571,8.61E-05,0.002145743,0,-2.08E-16,1.54E-17
1633451995,106600761.4,0.966790199,0.002166742,7.76E-05,0.001934319,0,-2.07E-16,1.54E-17
1633451995,139864921.6,1.000054359,0.001987004,7.12E-05,0.001773861,0,-2.10E-16,1.56E-17
1633451995,173165798.2,1.033355236,0.001771517,6.35E-05,0.001581489,0,-2.07E-16,1.53E-17
1633451995,206636428.8,1.066825867,0.001611617,5.78E-05,0.001438741,0,-2.08E-16,1.54E-17
1633451995,239828825,1.100018263,0.001476038,5.29E-05,0.001317706,0,-2.10E-16,1.56E-17
1633451995,273112773.9,1.133302212,0.001313365,4.71E-05,0.001172482,0,-2.07E-16,1.53E-17
1633451995,306609630.6,1.166799068,0.001194048,4.28E-05,0.001065965,0,-2.08E-16,1.54E-17
1633451995,356653690.3,1.216843128,0.000541925,1.94E-05,0.000483793,0,-1.04E-16,7.73E-18
1633451995,406598806.4,1.266788244,0.000984237,3.53E-05,0.000878659,0,-2.09E-16,1.55E-17
1633451995,439797401.4,1.299986839,0.000892417,3.20E-05,0.000796689,0,-2.09E-16,1.55E-17
1633451995,473103761.7,1.3332932,0.000801274,2.87E-05,0.000715323,0,-2.07E-16,1.54E-17
1633451995,507083416,1.367272854,-1.127176979,-0.043454895,-0.080109854,0.052691787,0.014225023,0.02689414
1633451995,540409803.4,1.400599241,-0.186750901,-0.006984466,-0.073414295,-0.00062441,0.007563939,0.007604556
1633451995,573943138.1,1.434132576,-0.099439402,-0.003699023,-0.045542091,0.006977357,0.000264863,0.000309462
1633451995,607414245.6,1.467603683,-0.031309648,-0.001138211,-0.030654086,2.53E-15,-3.36E-17,-1.47E-17
1633451995,640047788.6,1.500237226,-0.081663162,-0.00300079,-0.052867131,-0.000853291,0.010339282,0.010389719
1633451995,689992904.7,1.550182343,-0.013313747,-0.000476068,-0.015827467,0.000301132,-0.003648805,-0.003666604
1633451995,739965200.4,1.600154638,-0.02199465,-0.000790237,-0.025606772,0,6.78E-35,0
1633451995,773199081.4,1.633388519,-0.024364878,-0.000884292,-0.023205825,0,6.81E-35,0
1633451995,806492328.6,1.666681767,-0.006766717,-0.000222824,-0.018371683,-0.00729086,-0.000276024,-0.000324103
1633451995,839925766,1.700115204,0.00285918,0.000140492,-0.016259269,0,-4.15E-16,0
1633451995,873167753.2,1.733357191,-0.009298008,-0.000328932,-0.012141801,0,-4.20E-16,0
1633451995,906467199.3,1.766656637,-0.011327497,-0.000409241,-0.010466347,0,-4.14E-16,0
1633451995,939978122.7,1.800167561,-0.022894098,-0.000841812,-0.013687709,0,-4.15E-16,0
1633451995,989936828.6,1.850126266,0.294963988,0.011326867,0.007829501,-0.028954579,-0.012097602,-0.01603845
1633451996,73234081.27,1.933423519,0.026102171,0.001007291,-0.00103943,0.020680071,0.007219611,0.010700936
1633451996,139943122.9,2.000132561,0.042415305,0.001619085,-0.005397185,0,0,0
1633451996,173130273.8,2.033319712,0.932604043,0.03821862,-0.300347988,-0.079555206,-0.07320202,-0.121663685
1633451996,206491708.8,2.066681147,0.752130603,0.034891566,-0.546798805,-0.037392075,0.013146067,-0.039246649
1633451996,239969253.5,2.100158691,0.064843228,0.003169696,-0.062583068,0,0,1.56E-16
1633451996,273195266.7,2.133384705,0.023924164,0.001198061,-0.028024967,0,0,1.57E-16
1633451996,306483268.7,2.166672707,0.014052907,0.000717667,-0.018866724,0,0,1.56E-16
1633451996,339912891.4,2.200102329,0.016390504,0.000801351,-0.015843789,0,0,1.56E-16
1633451996,389824390.4,2.250013828,-0.006422761,-0.000263868,-0.00244749,0,0,7.83E-17
1633451996,439769744.9,2.299959183,-0.00980407,-0.000411076,-0.002304634,0,0,1.55E-16
1633451996,489777803.4,2.349967241,-0.004135857,-0.000175948,-0.000699341,-0.002997649,-0.00829729,-0.007533843
1633451996,539904117.6,2.400093555,-0.001770247,-1.19E-05,-0.010682619,-0.009702846,-0.000346882,-0.012964283
1633451996,573412418.4,2.433601856,-0.001821807,-4.20E-05,-0.006129721,0.000755128,-0.007237017,-0.010402044
1633451996,606561183.9,2.466750622,-0.016485673,-0.000747193,0.00232827,0.006751729,0.007660529,0.007749917
1633451996,639839172.4,2.50002861,-0.003588477,-7.94E-05,-0.013152922,0.000624711,-0.007207799,-0.00731054
1633451996,689906835.6,2.550096273,0.005390453,0.000271509,-0.0046423,-0.005319363,-0.012340972,-0.011926621
1633451996,756573200.2,2.616762638,0.096077521,0.005946208,-0.2374589,-0.003723723,0.008064071,-0.007403543
1633451996,806492328.6,2.666681767,0.418030928,0.022348722,-0.44152244,-0.018108958,0.012059973,-0.013438918
1633451996,839764356.6,2.699953794,0.063940838,0.003601008,-0.087948759,0,0,-2.37E-17
1633451996,889820337.3,2.750009775,0.020914826,0.001160921,-0.026439363,0,0,-1.19E-17
1633451996,939814329.1,2.800003767,0.038853369,0.002042642,-0.033462695,0,0,-2.38E-17
1633451996,990074157.7,2.850263596,0.012590079,0.000681962,-0.013598195,0,0,-1.18E-17
1633451997,40083885.19,2.900273323,0.031477875,0.001602246,-0.019881617,0,0,-2.42E-17
1633451997,106489658.4,2.966679096,0.01809514,0.000905154,-0.009245403,0,0,-7.94E-18
1633451997,173242569,3.033432007,-0.014488701,-0.000655047,-0.002169128,0,0,-2.37E-17
1633451997,206717252.7,3.066906691,0.013026042,0.000563186,0.005483757,0,0,-2.38E-17
1633451997,240031242.4,3.10022068,0.037452157,0.001671116,0.008645634,0,0,-2.39E-17
1633451997,292036294.9,3.152225733,0.001023116,2.32E-05,0.003315635,0,0,-1.12E-17
1633451997,342063903.8,3.202253342,0.003745247,0.000160239,0.001808459,0,0,-2.71E-17
1633451997,373364448.5,3.233553886,0.003217733,0.000136607,0.001699693,0,0,-2.38E-17
1633451997,406697273.3,3.266886711,0.002648514,0.00010945,0.001809727,0,0,-2.38E-17
1633451997,439932346.3,3.300121784,0.002475132,0.000118439,-0.000526918,0,0,-2.40E-17
1633451997,473260402.7,3.333449841,0.001167626,5.99E-05,-0.000816647,-0.000639032,0.007209082,0.007330466
1633451997,506742954.3,3.366932392,0.024017023,0.001051683,0.007468076,0,0,0
1633451997,540027618.4,3.400217056,0.018287071,0.00078062,0.008449892,0,0,0
1633451997,573307752.6,3.43349719,0.015865029,0.000644031,0.012166024,-0.006177705,-0.012849346,-0.013034102
1633451997,606689930,3.466879368,-0.006058334,-0.00024983,-0.004298036,0.007311692,0.000337627,0.000305359
1633451997,640072345.7,3.500261784,-0.004995334,-0.000224152,-0.001104025,-4.01E-15,2.08E-16,0
1633451997,674208641.1,3.534398079,-0.106733668,-0.004989898,-0.004452566,-0.011835429,-0.017492642,-0.033553117
1633451997,707565784.5,3.567755222,-0.166652066,-0.007982127,-0.009858934,-0.026781299,-0.000922699,-0.045792679
1633451997,740138769.1,3.600328207,-0.15708591,-0.007757118,0.01497586,0.016753958,0.029013944,0.03127441
1633451997,773319244.4,3.633508682,-0.159223926,-0.007740237,0.022786259,0.016828208,0.027167866,0.033992915
1633451997,823312282.6,3.68350172,-0.086563887,-0.003965274,0.01227836,0.021013522,0.068100125,0.06244489
1633451997,940089702.6,3.80027914,-0.308689724,-0.013479193,0.061303058,0.01052256,-0.007328805,0.00124044
1633451998,56632280.35,3.916821718,-0.104116165,-0.004636037,0.050987473,-0.00179116,0.004004342,0.002104144
1633451998,106601715.1,3.966791153,-0.499568319,-0.021127991,0.115444916,0.033860997,0.048442452,0.058343341
1633451998,140076160.4,4.000265598,-0.257258362,-0.010628168,0.076484354,0.010307467,0.000415914,0.000495184
1633451998,173338890.1,4.033528328,-0.236397309,-0.009723834,0.074290332,0.007308383,-0.007107537,0.007703082
1633451998,223319768.9,4.083509207,-0.223172075,-0.00911905,0.063844312,0.003644006,0.000146149,0.000174166
1633451998,273339271.5,4.133528709,-0.219608719,-0.009001196,0.055198422,0.000700357,5.96E-05,-0.014703255
1633451998,306548357,4.166737795,-0.202377892,-0.008341904,0.04997548,5.46E-16,-2.09E-16,0
1633451998,356679439.5,4.216868877,-0.165432216,-0.006713195,-0.009339077,0.006297625,0.00025566,0.00030101
1633451998,406793594.4,4.266983032,-0.321247402,-0.013066681,-0.023699088,0.000349855,2.67E-05,-0.007342187
1633451998,440125703.8,4.300315142,-0.310203231,-0.012301168,-0.021646048,0.015995144,0.000537438,0.069697997
1633451998,475531816.5,4.335721254,-0.322661435,-0.012222255,-0.034793774,0.014451527,0.000520167,0.032739162
1633451998,508832454.7,4.369021893,-0.417682942,-0.015222597,-0.046236677,0.01760235,0.000621462,0.05995071
1633451998,540168762.2,4.4003582,-0.371260899,-0.01307592,-0.036952986,0.011524685,0.000408261,0.023668541
1633451998,573808670,4.433998108,-0.399410749,-0.013621389,-0.037595258,0.020650386,0.000732458,0.045502874
1633451998,607023239.1,4.467212677,-0.42044157,-0.013797098,-0.042141123,0.020763965,0.000726936,0.036176958
1633451998,640044689.2,4.500234127,-0.4972062,-0.015918267,-0.054847076,0.012072303,-0.006884537,0.016911969
1633451998,690031766.9,4.550221205,-0.035832379,-0.001159065,-0.014204219,1.36E-15,-1.04E-16,0
1633451998,773207664.5,4.633397102,-0.022783204,-0.000748553,-0.01462588,9.06E-16,-6.95E-17,0
1633451998,839956760.4,4.700146198,-0.027238882,-0.000896996,-0.01847591,2.69E-15,-2.06E-16,0
1633451998,889992713.9,4.750182152,-0.012473416,-0.000410787,-0.008474209,1.36E-15,-1.04E-16,0
1633451998,956620693.2,4.816810131,-0.011215143,-0.000369351,-0.007621043,1.35E-15,-1.04E-16,0
1633451999,6685733.795,4.866875172,-0.020386223,-0.000671386,-0.013853501,2.72E-15,-2.08E-16,0
1633451999,40004253.39,4.900193691,-0.018417778,-0.000606559,-0.012515891,2.71E-15,-2.08E-16,0
1633451999,74808597.56,4.934998035,-0.015335195,-0.000505039,-0.010421114,2.49E-15,-1.91E-16,0
1633451999,124799728.4,4.984989166,-0.015048031,-0.000495582,-0.010225969,1.42E-15,-1.09E-16,0
1633451999,173384666.4,5.033574104,-0.012330805,-0.000406094,-0.008379464,2.70E-15,-2.07E-16,0
1633451999,206982612.6,5.06717205,-0.011061474,-0.000364291,-0.007516884,2.68E-15,-2.06E-16,0
1633451999,257043838.5,5.117233276,-0.005091507,-0.00016768,-0.003459961,1.36E-15,-1.05E-16,0
1633451999,306857109.1,5.167046547,-0.00919867,-0.000302943,-0.006251006,2.72E-15,-2.09E-16,0
1633451999,340017795.6,5.200207233,-0.008374251,-0.000275792,-0.005690767,2.73E-15,-2.10E-16,0
1633451999,373380184.2,5.233569622,-0.007446891,-0.000245251,-0.005060574,2.69E-15,-2.06E-16,0
1633451999,406939744.9,5.267129183,-0.006781036,-0.000223322,-0.00460809,2.70E-15,-2.07E-16,0
1633451999,458783626.6,5.318973064,-0.005571914,-0.000183502,-0.003786424,1.29E-15,-9.88E-17,0
1633451999,542013168.3,5.402202606,-0.004764928,-0.000156925,-0.003238032,9.40E-16,-7.21E-17,0
1633451999,606901645.7,5.467091084,-0.003721095,-0.000122548,-0.00252869,2.70E-15,-2.07E-16,0
1633451999,690306186.7,5.550495625,-0.002939133,-9.68E-05,-0.001997304,6.78E-16,-5.21E-17,0
1633451999,773508787.2,5.633698225,-0.002289131,-7.54E-05,-0.001555591,2.73E-15,-2.09E-16,0
1633451999,806851863.9,5.667041302,-0.00204732,-6.74E-05,-0.001391267,2.70E-15,-2.07E-16,0
1633451999,873591661.5,5.733781099,-0.001694838,-5.58E-05,-0.001151736,9.05E-16,-6.94E-17,0
1633451999,940197229.4,5.800386667,-0.001385703,-4.56E-05,-0.000941662,2.72E-15,-2.09E-16,0
1633451999,973392248.2,5.833581686,-0.001260417,-4.15E-05,-0.000856523,2.73E-15,-2.10E-16,0
1633452000,6710052.49,5.86689949,-0.001127118,-3.71E-05,-0.000765939,2.70E-15,-2.07E-16,0
1633452000,40190696.72,5.900380135,-0.001022741,-3.37E-05,-0.000695009,2.70E-15,-2.08E-16,0
1633452000,73422193.53,5.933611631,-0.00093749,-3.09E-05,-0.000637076,2.74E-15,-2.10E-16,0
1633452000,123426675.8,5.983616114,-0.000797052,-2.62E-05,-0.000541641,1.35E-15,-1.04E-16,0
1633452000,190287590,6.050477028,-0.000344084,-1.13E-05,-0.000233824,1.35E-15,-1.04E-16,0
1633452000,240344762.8,6.100534201,-0.000622746,-2.05E-05,-0.00042319,2.71E-15,-2.08E-16,0
