time in sec,v_x,v_y,v_z,w_x,w_y,w_z
1632492871,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.73E-16
1632492871,-2.03E-30,0,1.06E-13,-6.50E-17,-2.04E-16,-2.71E-16
1632492871,-2.02E-30,0,1.06E-13,-6.45E-17,-2.03E-16,-2.69E-16
1632492871,-2.04E-30,0,1.07E-13,-6.52E-17,-2.05E-16,-2.72E-16
1632492871,-1.99E-30,0,1.04E-13,-6.37E-17,-2.00E-16,-2.66E-16
1632492871,-2.08E-30,0,1.09E-13,-6.66E-17,-2.09E-16,-2.78E-16
1632492871,-2.03E-30,0,1.06E-13,-6.48E-17,-2.03E-16,-2.70E-16
1632492871,-2.05E-30,0,1.08E-13,-6.57E-17,-2.06E-16,-2.74E-16
1632492871,-1.97E-30,0,1.03E-13,-6.31E-17,-1.98E-16,-2.64E-16
1632492871,-2.08E-30,0,1.09E-13,-6.66E-17,-2.09E-16,-2.78E-16
1632492871,-2.05E-30,0,1.07E-13,-6.54E-17,-2.05E-16,-2.73E-16
1632492871,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.69E-16
1632492871,-2.04E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492871,-2.05E-30,0,1.07E-13,-6.56E-17,-2.06E-16,-2.74E-16
1632492871,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.70E-16
1632492871,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492871,-2.06E-30,0,1.08E-13,-6.58E-17,-2.07E-16,-2.75E-16
1632492871,-2.03E-30,0,1.06E-13,-6.48E-17,-2.03E-16,-2.70E-16
1632492871,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.70E-16
1632492871,-2.06E-30,0,1.08E-13,-6.58E-17,-2.07E-16,-2.75E-16
1632492871,-2.02E-30,0,1.06E-13,-6.45E-17,-2.03E-16,-2.69E-16
1632492871,-2.04E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492871,0.004976914,7.46E-05,-0.013413576,-0.374611695,0.027463324,-0.150465442
1632492871,-0.000143072,-0.001523667,0.03251889,0.013726992,-0.001507896,0.00470243
1632492871,-0.001349397,-0.000513728,0.013611567,3.47E-17,1.66E-15,0
1632492872,-0.000472743,-0.000494756,0.011461102,3.47E-17,1.67E-15,0
1632492872,-0.000102246,-0.000257984,0.005688737,3.49E-17,1.68E-15,0
1632492872,-0.000279076,-0.000166014,0.004085778,3.43E-17,1.65E-15,0
1632492872,-0.001229978,-6.19E-05,0.003767941,3.48E-17,1.67E-15,0
1632492872,-0.001139425,-8.65E-05,0.004109668,3.50E-17,1.68E-15,0
1632492872,0.000302283,-0.000193606,0.003513814,3.45E-17,1.66E-15,0
1632492872,-0.000932071,-4.83E-05,0.00288392,3.44E-17,1.65E-15,0
1632492872,-0.001392349,2.75E-05,0.002189444,3.49E-17,1.68E-15,0
1632492872,-0.000211018,-3.86E-05,0.001241252,3.46E-17,1.66E-15,0
1632492872,-0.000287495,-0.000148051,0.003720663,3.47E-17,1.67E-15,0
1632492872,-6.83E-05,-0.000165275,0.003650057,3.48E-17,1.67E-15,0
1632492872,5.74E-05,-0.000126388,0.002572728,3.46E-17,1.66E-15,0
1632492872,9.33E-05,-9.84E-05,0.001906459,3.46E-17,1.66E-15,0
1632492872,0.000407091,-0.000107586,0.001476067,3.48E-17,1.67E-15,0
1632492872,0.000206299,-9.97E-05,0.001708723,3.47E-17,1.67E-15,0
1632492872,0.000297308,-0.000135042,0.002278602,3.45E-17,1.66E-15,0
1632492872,0.000559246,-4.21E-05,-0.000220139,3.50E-17,1.68E-15,0
1632492872,0.00049507,-2.35E-05,-0.000487716,3.45E-17,1.66E-15,0
1632492872,0.000512217,-4.10E-05,-0.000148705,3.47E-17,1.67E-15,0
1632492872,0.000652778,-7.30E-05,0.000251887,3.47E-17,1.67E-15,0
1632492872,0.000557774,-6.00E-05,0.000163766,3.47E-17,1.67E-15,0
1632492872,0.000991174,-1.93E-05,-0.001564416,3.47E-17,1.67E-15,0
1632492872,0.000484033,2.32E-05,-0.001458491,3.44E-17,1.65E-15,0
1632492872,0.000797037,-4.30E-05,-0.000674927,3.51E-17,1.68E-15,0
1632492872,0.00054088,-4.50E-05,-0.000121165,3.45E-17,1.66E-15,0
1632492872,-0.000279424,1.17E-05,0.000308875,3.44E-17,1.65E-15,0
1632492872,-0.00048802,4.13E-05,9.36E-05,3.52E-17,1.69E-15,0
1632492872,-0.000400106,-4.67E-06,0.000896626,3.43E-17,1.65E-15,0
1632492872,-0.000516409,2.32E-05,0.000535803,3.49E-17,1.67E-15,0
