Sec,NanoSec,0-ref Sec,Latitude,Longitude,Altitude
1632492868,419769779,0,42.29528504,-83.70960028,238.401
1632492868,469687528,0.049917698,42.29528544,-83.70960017,238.493
1632492868,519629657,0.099859953,42.2952854,-83.70960003,238.582
1632492868,569771842,0.150002003,42.29528502,-83.70959985,238.441
1632492868,619728818,0.19995904,42.29528912,-83.70960323,239.613
1632492868,672688127,0.252918482,42.29528907,-83.70960364,239.442
1632492868,719520113,0.299750328,42.29529034,-83.70960253,240.472
1632492868,769410238,0.349640369,42.29529041,-83.70960251,240.461
1632492868,820347687,0.400578022,42.29529026,-83.70960245,240.409
1632492868,869312185,0.449542522,42.29529022,-83.70960239,240.49
1632492868,919246820,0.499477148,42.2952904,-83.70960252,240.577
1632492868,969166587,0.549396753,42.29529052,-83.70960255,240.587
1632492869,19152195,0.599382401,42.29529126,-83.70960303,240.841
1632492869,70097151,0.650327444,42.29529112,-83.70960275,240.934
1632492869,120054881,0.700285196,42.29529115,-83.70960276,240.935
1632492869,170976498,0.751206636,42.29529125,-83.70960282,240.972
1632492869,219920698,0.800150871,42.29529111,-83.70960268,240.919
1632492869,270060826,0.850291014,42.29529078,-83.70960235,240.959
1632492869,320462027,0.900692225,42.29529081,-83.70960231,240.985
1632492869,369840423,0.95007062,42.29529078,-83.70960238,240.99
1632492869,419733268,0.999963522,42.2952908,-83.70960235,240.982
1632492869,469762470,1.0499928,42.2952908,-83.7096023,240.986
1632492869,519684834,1.099915028,42.29529075,-83.70960228,240.959
1632492869,569605904,1.149836063,42.29529069,-83.70960225,240.949
1632492869,619646713,1.199877024,42.29529104,-83.70960244,241.07
1632492869,672548853,1.252779007,42.2952776,-83.70959409,236.536
1632492869,719519656,1.299749851,42.29527741,-83.70959398,236.466
1632492869,769501615,1.349731922,42.2952774,-83.70959392,236.448
1632492869,819434123,1.399664402,42.29527736,-83.70959388,236.437
1632492869,869316729,1.449547052,42.29527778,-83.709594,236.661
1632492869,919353196,1.499583483,42.29527791,-83.70959409,236.703
1632492869,969264151,1.549494505,42.29527789,-83.70959403,236.668
1632492870,19177443,1.599407673,42.29527785,-83.70959403,236.668
1632492870,70149719,1.650379896,42.29527838,-83.70959439,236.75
1632492870,120083253,1.700313568,42.29527805,-83.70959419,236.63
1632492870,170058433,1.750288725,42.2952778,-83.70959423,236.577
1632492870,220100292,1.800330639,42.29527846,-83.70959448,236.802
1632492870,270088691,1.850318909,42.29527729,-83.70959415,236.27
1632492870,319861657,1.900091887,42.29527728,-83.70959417,236.278
1632492870,370047375,1.950277567,42.29527777,-83.70959429,236.425
1632492870,419775497,2.000005722,42.29527773,-83.70959426,236.41
1632492870,469776008,2.050006151,42.29527846,-83.70959455,236.676
1632492870,519718974,2.099949121,42.29527846,-83.70959457,236.682
1632492870,569606302,2.14983654,42.29527848,-83.70959455,236.667
1632492870,619570493,2.19980073,42.29527844,-83.70959452,236.667
1632492870,672500986,2.252731323,42.29527886,-83.7095946,236.918
1632492870,719471907,2.299702168,42.29527923,-83.70959502,236.871
1632492870,769423974,2.349654198,42.29527941,-83.70959518,236.955
1632492870,819342115,2.399572372,42.29527842,-83.70959448,236.642
1632492870,870265858,2.450496197,42.29527742,-83.70959433,236.072
1632492870,920415464,2.500645638,42.29527775,-83.70959437,236.141
1632492870,970181158,2.550411463,42.29527857,-83.70959503,236.381
1632492871,20103076,2.600333214,42.29527669,-83.70959386,235.786
1632492871,70252988,2.650483131,42.29526757,-83.70959051,232.587
1632492871,120043869,2.700273991,42.29527794,-83.70959443,236.266
1632492871,171027673,2.751257896,42.29527927,-83.70959542,236.685
1632492871,219930022,2.80016017,42.29527686,-83.70959409,235.881
1632492871,269876511,2.850106716,42.29527619,-83.70959424,235.497
1632492871,319851650,2.900081873,42.29527394,-83.70959323,234.614
1632492871,369786125,2.95001626,42.29527262,-83.70959258,234.156
1632492871,419758932,2.999989271,42.29527141,-83.70959203,233.756
1632492871,469676664,3.049906969,42.29526732,-83.70959044,232.181
1632492871,519640042,3.099870205,42.29526979,-83.70959155,233.121
1632492871,569613451,3.149843693,42.29526956,-83.70959152,233.076
1632492871,619703714,3.199934006,42.29526958,-83.70959154,233.089
1632492871,672474466,3.25270462,42.29526976,-83.70959171,233.042
1632492871,720386696,3.30061698,42.29527004,-83.70959181,233.139
1632492871,769362880,3.349593163,42.29527013,-83.70959173,233.147
1632492871,819221347,3.399451494,42.29527031,-83.70959185,233.203
1632492871,869382983,3.449613333,42.29527031,-83.70959188,233.184
1632492871,919111584,3.499341726,42.29527062,-83.70959205,233.329
1632492871,970095327,3.550325632,42.29527044,-83.70959209,233.271
1632492872,19026130,3.599256277,42.29527037,-83.70959201,233.247
1632492872,69995198,3.650225401,42.29527078,-83.70959237,233.276
1632492872,119925316,3.700155497,42.29527045,-83.70959221,233.142
1632492872,171019991,3.751250267,42.29527061,-83.70959245,233.212
1632492872,219981641,3.800211906,42.29527071,-83.7095925,233.246
1632492872,269760543,3.849990845,42.2952707,-83.70959245,233.228
1632492872,319860391,3.900090694,42.2952704,-83.70959228,233.133
1632492872,369849880,3.950080156,42.29527053,-83.70959254,233.18
1632492872,419570398,3.999800682,42.29527052,-83.7095925,233.155
1632492872,469513838,4.049744129,42.29527037,-83.70959239,233.136
1632492872,519561875,4.099792004,42.29527068,-83.70959246,233.276
1632492872,570426864,4.150657177,42.29527064,-83.70959256,233.254
1632492872,619302957,4.199533224,42.29527088,-83.70959272,233.3
1632492872,672242756,4.252472878,42.29527112,-83.70959305,233.283
1632492872,719400523,4.299630642,42.29527156,-83.70959327,233.47
1632492872,769237199,4.349467516,42.29527135,-83.70959295,233.506
1632492872,819118256,4.399348497,42.29527131,-83.70959273,233.481
1632492872,862108534,4.442338705,NaN,NaN,NaN
1632492872,920242471,4.500472784,42.29527035,-83.70959265,232.945
1632492872,969959811,4.550189972,42.29527009,-83.70959257,232.878
1632492873,19905393,4.600135565,42.29527007,-83.70959237,232.888
