Sec,NanoSec,0-ref Sec,Latitude,Longitude,Altitude
1633451998,387599557,4.500201702,42.29493595,-83.70969046,230.486
1633451998,437540281,4.550142527,42.29493497,-83.70969057,230.459
1633451998,479083991,4.591686249,NaN,NaN,NaN
1633451998,529658602,4.64226079,NaN,NaN,NaN
1633451998,579395853,4.691998005,NaN,NaN,NaN
1633451998,629568409,4.742170572,NaN,NaN,NaN
1633451998,679325975,4.791928291,NaN,NaN,NaN
1633451998,730416156,4.843018293,NaN,NaN,NaN
1633451998,779174445,4.891776562,NaN,NaN,NaN
1633451998,878682275,4.991284609,NaN,NaN,NaN
1633451998,929115082,5.041717291,NaN,NaN,NaN
1633451998,978756897,5.091359138,NaN,NaN,NaN
1633451999,28966819,5.141569138,NaN,NaN,NaN
1633451999,79271940,5.191874266,NaN,NaN,NaN
1633451999,129838990,5.242441177,NaN,NaN,NaN
1633451999,179752999,5.292355299,NaN,NaN,NaN
1633451999,279801323,5.392403603,NaN,NaN,NaN
1633451999,329686804,5.442289114,NaN,NaN,NaN
1633451999,379702432,5.492304564,NaN,NaN,NaN
1633451999,429483343,5.542085648,NaN,NaN,NaN
1633451999,579538825,5.692141056,NaN,NaN,NaN
1633451999,887035664,5.999637842,42.29493587,-83.70969197,230.383
1633451999,936887529,6.049489737,42.29493572,-83.70969199,230.388
1633451999,986834728,6.099436998,42.29493668,-83.70969197,230.437
1633452000,36966762,6.149569035,42.29492171,-83.70969698,229.306
1633452000,86722804,6.199325085,42.29492194,-83.70969693,229.334
1633452000,136696169,6.249298334,42.29492204,-83.70969694,229.354
1633452000,239523654,6.352125883,42.2949464,-83.70968867,231.214
1633452000,291553430,6.404155731,42.29494617,-83.70968858,231.229
1633452000,336677163,6.449279308,42.2949465,-83.70968862,231.261
1633452000,387585191,6.500187397,42.29494642,-83.70968865,231.254
1633452000,437403534,6.550005674,42.29492559,-83.7096956,229.672
1633452000,487321680,6.599923849,42.294925,-83.70969561,229.651
1633452000,537239167,6.649841309,42.29492496,-83.70969563,229.668
1633452000,587190573,6.699792862,42.29492471,-83.70969558,229.657
1633452000,637225456,6.749827623,42.29496037,-83.70968363,232.363
1633452000,687125347,6.799727678,42.29496105,-83.70968366,232.362
1633452000,787074377,6.899676561,42.2949622,-83.70968369,232.439
1633452000,836953547,6.949555874,42.29492458,-83.70969623,229.587
1633452000,886942245,6.999544382,42.29492478,-83.7096962,229.593
1633452000,937046527,7.049648762,42.29492478,-83.70969625,229.602
1633452000,986792953,7.099395275,42.29492524,-83.70969623,229.642
1633452001,36757229,7.149359465,42.29491639,-83.70969924,228.954
1633452001,87733399,7.200335741,42.29491601,-83.70969919,228.953
1633452001,137659173,7.250261307,42.29491576,-83.70969925,228.963
1633452001,240540656,7.353142977,42.29491563,-83.70969957,228.921
1633452001,337647256,7.450249434,42.29491502,-83.70969969,228.959
1633452001,387314323,7.499916553,42.29491534,-83.7096997,228.964
1633452001,437254149,7.549856424,42.29494303,-83.7096905,231.047
1633452001,487325588,7.599927902,42.29494287,-83.70969052,231.045
1633452001,537205540,7.649807692,42.29494257,-83.70969052,231.048
1633452001,637192704,7.74979496,42.29493929,-83.70969192,230.768
1633452001,687048708,7.799650908,42.29493983,-83.70969192,230.769
1633452001,738109045,7.850711346,42.2949398,-83.70969191,230.776
1633452001,787205410,7.899807692,42.2949405,-83.7096919,230.796
1633452001,836961483,7.949563742,42.29493394,-83.70969416,230.306
1633452001,886870942,7.999473095,42.29493388,-83.70969411,230.307
1633452001,936999141,8.049601316,42.29493349,-83.70969416,230.297
1633452001,988839751,8.101442099,42.29493389,-83.70969415,230.322
1633452002,86725128,8.199327469,42.29494534,-83.70969023,231.204
1633452002,187822882,8.300425053,42.29494661,-83.70969018,231.244
1633452002,239579075,8.352181196,42.29492959,-83.70969593,229.943
1633452002,287524614,8.400126934,42.29492925,-83.70969596,229.938
1633452002,386404842,8.499006987,42.29493051,-83.70969595,229.986
1633452002,437373530,8.549975872,42.29491786,-83.70970009,229.043
1633452002,487269999,8.599872351,42.29491764,-83.70970008,229.045
1633452002,537242862,8.649845123,42.29491796,-83.70970002,229.042
1633452002,587233011,8.6998353,42.29491801,-83.70970001,229.044
1633452002,637156635,8.749758959,42.29491864,-83.70969981,229.106
1633452002,738032070,8.850634336,42.29491882,-83.70969979,229.096
