Sec,NanoSec,0-ref Sec,w_left,w_right
1632492868,822370579,0,0,0
1632492868,921444300,0.099073887,0,0
1632492869,20340285,0.197969675,0,0
1632492869,119268487,0.296897888,0,0
1632492869,218173553,0.395802975,0,0
1632492869,317163035,0.494792461,0,0
1632492869,416073660,0.593703032,0,0
1632492869,515172547,0.692801952,0,0
1632492869,625627128,0.803256512,0,0
1632492869,724554287,0.902183771,0,0
1632492869,823816982,1.001446486,0,0
1632492869,922416910,1.100046396,0,0
1632492870,21450097,1.199079514,0,0
1632492870,120257294,1.297886848,0,0
1632492870,219250820,1.396880388,0,0
1632492870,318247308,1.495876789,0,0
1632492870,417121205,1.594750643,0,0
1632492870,516170658,1.693800211,0,0
1632492870,615071138,1.792700529,0,0
1632492870,725576718,1.90320611,0,0
1632492870,824942164,2.002571583,0,0
1632492870,923480722,2.10111022,0,0
1632492871,22327467,2.199956894,0,0
1632492871,121371112,2.299000502,0,0
1632492871,220235149,2.39786458,0,0
1632492871,319210266,2.496839762,0,0
1632492871,418192631,2.595822096,0,0
1632492871,518065576,2.695695162,0,0
1632492871,617120478,2.794749975,0,0
1632492871,716127318,2.893756866,0,0
1632492871,825542320,3.003171682,0,0
1632492871,924566713,3.102196217,0,0
1632492872,23384296,3.201013803,0,0
1632492872,122358268,3.299987793,0,0
1632492872,221272188,3.398901701,0,0
1632492872,320246486,3.497875929,0,0
1632492872,419223134,3.596852541,0,0
1632492872,518111788,3.695741177,0,0
1632492872,618132214,3.795761585,0,0
1632492872,716109428,3.893738985,0,0
1632492872,815161469,3.992790937,0,0
1632492872,925584204,4.103213787,0,0
1632492873,24487239,4.202116728,0,0
1632492873,123353869,4.300983429,0,0
1632492873,222451432,4.400080919,0,0
1632492873,321533252,4.499162674,0,0
1632492873,421127823,4.598757267,0,0
1632492873,519242044,4.696871519,0,0
1632492873,619207075,4.796836615,0,0
1632492873,717185223,4.89481473,0,0
1632492873,816120017,4.99374938,0,0
1632492873,915215614,5.092845201,0,0
1632492874,25550151,5.203179598,0,0
1632492874,124669203,5.302298784,0,0
1632492874,223355487,5.400985003,0,0
1632492874,322236571,5.499866009,0,0
1632492874,421549058,5.599178553,0,0
1632492874,520304313,5.697933674,0,0
1632492874,619130225,5.796759605,0,0
1632492874,718132207,5.895761728,0,0
1632492874,817959088,5.995588541,0,0
1632492874,917170089,6.094799519,0,0
1632492875,16061952,6.193691492,0,0
1632492875,125564288,6.303193808,0,0
1632492875,224518981,6.402148485,0,0
1632492875,323560658,6.501190186,0,0
1632492875,422436034,6.60006547,0,0
1632492875,521160856,6.698790312,0,0
1632492875,620184770,6.797814131,1.453664446,2.119927317
1632492875,719230796,6.896860361,1.695941853,5.511811024
1632492875,818190409,6.995819807,2.604482132,6.056935191
1632492875,917214170,7.094843626,2.665051484,6.056935191
1632492876,17056713,7.194686174,2.180496669,6.056935191
1632492876,115140942,7.292770386,3.573591763,6.056935191
1632492876,225696360,7.403325796,6.056935191,6.056935191
1632492876,324593244,7.502222776,6.056935191,6.056935191
1632492876,423419035,7.60104847,6.056935191,4.784978801
1632492876,522385737,7.700015306,6.056935191,3.997577226
1632492876,621282004,7.798911572,6.056935191,2.483343428
1632492876,720318541,7.897948027,6.056935191,1.695941853
1632492876,819237619,7.99686718,6.056935191,2.84675954
1632492876,918227862,8.095857382,6.056935191,5.632949727
1632492877,18205137,8.195834637,6.056935191,6.056935191
1632492877,117082108,8.29471159,6.056935191,3.997577226
1632492877,216022103,8.393651485,6.056935191,4.058146578
1632492877,325462502,8.503092051,6.056935191,5.996365839
