Sec,Nsec,0-ref Sec,X,Y,Z,qX,qY,qZ,qW
1632492869,899140238,1.500120878,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492869,932556238,1.533536911,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492869,965650238,1.566631079,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492869,999367238,1.600347996,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,34410238,1.635390997,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,65966238,1.666946888,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,99128238,1.700109005,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,132715238,1.733695984,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,165997238,1.766978025,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,199121238,1.800101995,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,232691238,1.833672047,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,266009238,1.866990089,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,299066238,1.900047064,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,332691238,1.933671951,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,366003238,1.966984034,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,399115238,2.000096083,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,432564238,2.033545017,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,465885238,2.066865921,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,499050238,2.100030899,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,532618238,2.133599043,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,565885238,2.166866064,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,599200238,2.200181007,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,632542238,2.233522892,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,666029238,2.267009974,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,699125238,2.300106049,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,732500238,2.333481073,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,766110238,2.36709094,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,799376238,2.400357008,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,833410238,2.434391022,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,865987238,2.46696806,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,899449238,2.500430107,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,932475238,2.533456087,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,966813238,2.567794085,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492870,999362238,2.600342989,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,32503238,2.633483887,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,66088238,2.667068958,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,99396238,2.700376987,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,132467238,2.733448029,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,166023238,2.767004013,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,199447238,2.800427914,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,232397238,2.833378077,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,265867238,2.866847992,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,299446238,2.900427103,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,332382238,2.933362961,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,365982238,2.966963053,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,399268238,3.000248909,67.37492633,-14.66439173,8.662251096,-0.051303715,-0.164313833,-0.00907662,0.985031222
1632492871,432579238,3.033560038,67.37491473,-14.65574281,8.661774648,-0.04985505,-0.164417821,-0.01565759,0.985005632
1632492871,466050238,3.067030907,67.37456311,-14.66430778,8.662805998,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,499403238,3.100383997,67.37445735,-14.66631891,8.663250113,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,532699238,3.133680105,67.37434745,-14.66767671,8.663616265,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,565801238,3.166781902,67.37428905,-14.6688395,8.663795524,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,599491238,3.200471878,67.37425295,-14.66986808,8.663928805,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,632724238,3.233705044,67.37425084,-14.67077593,8.664060528,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,665748238,3.266728878,67.3742422,-14.67156706,8.664201128,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,699241238,3.30022192,67.37419407,-14.67223071,8.664309194,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,732897238,3.33387804,67.37419213,-14.67281987,8.664411194,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,766000238,3.36698103,67.37421223,-14.67329879,8.664494705,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,799400238,3.400381088,67.37420537,-14.67372661,8.664536213,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,832719238,3.433700085,67.37417391,-14.67410536,8.664656608,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,865940238,3.466921091,67.37413639,-14.67444762,8.664772069,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,899339238,3.500319958,67.37410645,-14.67475336,8.664852744,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,932740238,3.53372097,67.37408266,-14.67502954,8.664911981,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,966002238,3.566982985,67.37405372,-14.67524296,8.664954044,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492871,999295238,3.600275993,67.37402857,-14.67542564,8.665005642,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,32768238,3.633749008,67.37399416,-14.67560172,8.665074579,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,65834238,3.666815042,67.37397896,-14.67572205,8.665061698,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,99368238,3.700349092,67.37396853,-14.67582955,8.665040844,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,132674238,3.733654976,67.37395393,-14.6759203,8.665030628,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,165981238,3.766962051,67.37393052,-14.67600733,8.665031519,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,199297238,3.800277948,67.37391107,-14.67607743,8.665030658,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,232608238,3.833589077,67.37389673,-14.67612375,8.664970652,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,266250238,3.867230892,67.3738973,-14.67615332,8.664918952,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,299226238,3.900207043,67.3738796,-14.67618211,8.664889376,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,332704238,3.933685064,67.37386371,-14.67622413,8.664879669,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,366290238,3.96727109,67.37386924,-14.67626094,8.664892526,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,399176238,4.000156879,67.37388349,-14.67630472,8.664900639,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,432861238,4.033842087,67.37388642,-14.67633738,8.664933584,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,466035238,4.067015886,67.37389689,-14.67637991,8.664955953,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,499193238,4.10017395,67.37390373,-14.67640371,8.664933628,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,532885238,4.133866072,67.37391047,-14.67643263,8.664943112,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,566151238,4.167131901,67.37393644,-14.67645028,8.664936159,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,599260238,4.200241089,67.373968,-14.67646285,8.664933597,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,632922238,4.233902931,67.3739868,-14.67648798,8.664933537,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,666129238,4.267110109,67.37399088,-14.67651862,8.664928786,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,699263238,4.300244093,67.37399477,-14.67655787,8.66490619,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,732770238,4.333750963,67.37399846,-14.67660383,8.664883505,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,766090238,4.367070913,67.3740191,-14.67663575,8.664877333,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,799433238,4.40041399,67.37401758,-14.67671613,8.664863698,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,832690238,4.433670998,67.37402354,-14.67677531,8.6649174,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,866055238,4.467036009,67.3740347,-14.6767911,8.664969359,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,932490238,4.533471107,67.37395131,-14.67679644,8.664993616,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,966050238,4.567030907,67.3738932,-14.67680325,8.665004525,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492872,999575238,4.600555897,67.37384609,-14.67683839,8.664994522,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,32528238,4.633508921,67.37379023,-14.67689572,8.664963292,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,66279238,4.667259932,67.37375879,-14.67695383,8.664939155,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,99459238,4.70043993,67.37373134,-14.67700726,8.66491962,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,132532238,4.733512878,67.37369076,-14.67705364,8.664903953,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,166081238,4.767061949,67.37365446,-14.677097,8.664886349,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,199397238,4.800378084,67.37362513,-14.6771404,8.664874117,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,232702238,4.833683014,67.37359061,-14.67717704,8.66487654,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,266012238,4.86699295,67.37356692,-14.67721143,8.66489254,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,299473238,4.900454044,67.37354491,-14.6772526,8.664915405,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,332683238,4.933664083,67.37356153,-14.67734293,8.664983639,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,366058238,4.967039108,67.37359593,-14.67745265,8.665065361,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,399633238,5.000613928,67.37362418,-14.67754398,8.665135905,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,432599238,5.033580065,67.37364939,-14.67762567,8.665199339,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,466240238,5.067220926,67.37367218,-14.6776995,8.665256707,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,499433238,5.100414038,67.37369279,-14.67776631,8.66530863,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,532618238,5.133599043,67.37371146,-14.67782679,8.665355631,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,566068238,5.167048931,67.37372835,-14.67788154,8.665398177,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,599616238,5.200597048,67.37374364,-14.6779311,8.665436689,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,632669238,5.233649969,67.37375749,-14.67797595,8.66547155,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,665893238,5.266874075,67.37377002,-14.67801656,8.665503107,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,699422238,5.30040288,67.37378136,-14.67805332,8.665531673,-0.049895189,-0.164405644,-0.015417109,0.985009425
1632492873,733806238,5.334786892,67.37379163,-14.67808659,8.665557531,-0.049895189,-0.164405644,-0.015417109,0.985009425
