Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z
1633451993,869251072,0,-0.370348247,0.052538864,-9.80911902,-0.000215346,0.536552072,-0.000937887
1633451993,879256576,0.010005474,-0.364768109,0.05355706,-9.805290987,0.001098025,0.53535831,-0.002078245
1633451993,889264128,0.020013094,-0.365761431,0.054422459,-9.802991477,0.000704483,0.535120666,-0.002165254
1633451993,899267584,0.030016661,-0.371475607,0.053171244,-9.801899006,6.77E-05,0.536368847,-0.001141548
1633451993,909273088,0.040022135,-0.380869349,0.054965991,-9.803162742,-0.000528797,0.537228703,4.07E-05
1633451993,919280640,0.050029516,-0.388954309,0.054235978,-9.80161902,-0.000860146,0.53682977,-0.001045189
1633451993,929290240,0.060039282,-0.393722035,0.053050385,-9.805689046,9.55E-05,0.535084605,-0.001507445
1633451993,939295744,0.070044756,-0.390816158,0.053300071,-9.797085468,8.41E-05,0.537785053,-0.002560668
1633451993,949303296,0.080052376,-0.386585315,0.051184783,-9.796575181,-0.000500485,0.536580384,-0.002381505
1633451993,959306752,0.090055704,-0.37946182,0.048859468,-9.804264566,0.000123612,0.537433684,-0.001152895
1633451993,969312000,0.10006094,-0.372163553,0.052301822,-9.807513923,0.000977026,0.535541177,-0.001767835
1633451993,979319808,0.110068798,-0.369843366,0.051410075,-9.806305132,-0.000694469,0.536859691,-0.002225279
1633451993,989323264,0.120072365,-0.368372015,0.052259239,-9.805724117,-0.00034397,0.536020517,-0.001586049
1633451993,999328768,0.130077839,-0.372930372,0.059204208,-9.80820249,-7.66E-05,0.538821876,-0.001581689
1633451994,9336320,0.14008522,-0.381267993,0.062165054,-9.799794143,0.000789077,0.535217583,-0.001178164
1633451994,19339776,0.150088787,-0.387541337,0.061163475,-9.80207144,0.000741032,0.536045969,-0.0007681
1633451994,29345280,0.160094261,-0.389208759,0.06051541,-9.79985844,-2.73E-05,0.537502944,-0.000930282
1633451994,39352832,0.170101881,-0.389453491,0.059571188,-9.800803028,0.000115825,0.540118456,-0.002161597
1633451994,49356288,0.180105209,-0.387123295,0.057184306,-9.803235223,-0.000763071,0.536053777,-0.002311279
1633451994,59361792,0.190110683,-0.381590393,0.054393735,-9.80007296,0.000145519,0.537798524,-0.002254008
1633451994,69369344,0.200118303,-0.376397172,0.052518899,-9.802935948,0.000498458,0.537273228,-0.001725426
1633451994,79372544,0.210121632,-0.370466978,0.048738125,-9.802608616,-0.00034827,0.537694216,-0.002196699
1633451994,89378048,0.220127106,-0.370813599,0.051563996,-9.805092249,-0.000568652,0.536438286,-0.001642752
1633451994,99385600,0.230134487,-0.375804503,0.053810629,-9.803481891,-4.76E-05,0.53850323,-0.000985025
1633451994,109389312,0.240138292,-0.379813337,0.057235013,-9.807075532,0.00075224,0.535161734,-0.000865092
1633451994,119394816,0.250143766,-0.387653419,0.06072391,-9.801724819,0.00110236,0.537700355,-0.002025182
1633451994,129402112,0.260151148,-0.390639705,0.05747316,-9.801088274,0.000607052,0.536371231,-0.000594018
1633451994,139411712,0.270160675,-0.391340437,0.055921976,-9.798271463,-0.000254597,0.537331998,-0.002323319
1633451994,149417472,0.280166388,-0.38650783,0.05327696,-9.808076233,0.000284634,0.536751747,-0.002648226
1633451994,159425024,0.290174007,-0.380283585,0.048840928,-9.802436766,-0.000390441,0.54032886,-0.002277996
1633451994,169428480,0.300177574,-0.373513871,0.04666905,-9.80621044,0.000498419,0.536367297,-0.002425014
1633451994,179433984,0.310183048,-0.371324289,0.05101513,-9.802180746,0.00103858,0.539208889,-0.0020568
1633451994,189441536,0.32019043,-0.373212149,0.052330889,-9.806059048,0.001266198,0.536254585,-0.002355986
1633451994,199444992,0.330193996,-0.374753496,0.055917099,-9.803685889,0.000750111,0.536539435,-0.00048379
1633451994,209450240,0.340199232,-0.382062833,0.060045573,-9.801109317,0.000921103,0.53514564,-0.001511281
1633451994,219457792,0.350206852,-0.384845595,0.060839573,-9.801430804,0.000863511,0.538114369,2.21E-05
1633451994,229461504,0.360210419,-0.390167777,0.06134307,-9.799193839,-0.000128394,0.536385417,-0.001846215
1633451994,239467008,0.370215893,-0.389460542,0.058447417,-9.802132815,0.000472317,0.538401723,-0.001993801
1633451994,249474304,0.380223274,-0.383161332,0.053740184,-9.800704828,-0.000320154,0.534033358,-0.002424558
1633451994,259478016,0.390227079,-0.376279756,0.051488684,-9.805167068,0.000726204,0.537975788,-0.00190367
1633451994,269483520,0.400232553,-0.371293455,0.05026923,-9.804050047,3.77E-05,0.535400927,-0.002969751
1633451994,279491072,0.410240173,-0.3710515,0.049958816,-9.80734675,-0.000390541,0.538649619,-0.001921082
1633451994,289494528,0.420243502,-0.369128532,0.05211388,-9.806382873,-0.000312563,0.535946786,-0.001267709
1633451994,299500032,0.430248976,-0.375691581,0.053306118,-9.806913035,0.000490854,0.537423134,-0.002254451
1633451994,309507584,0.440256596,-0.382238774,0.059052817,-9.801968564,0.000895239,0.534765899,-0.001222934
1633451994,319510784,0.450259686,-0.389038627,0.059049881,-9.800765618,-0.000742157,0.537536144,-0.001735394
1633451994,329516544,0.460265636,-0.391361955,0.056789653,-9.799225987,0.000932677,0.536197722,-0.002437192
1633451994,339523840,0.470272779,-0.392295217,0.056680211,-9.79852047,-0.000455393,0.53806901,-0.002032907
1633451994,349527552,0.480276585,-0.389008268,0.05313488,-9.800755681,-0.00015737,0.534683824,-0.002062453
1633451994,359538944,0.490288019,-0.379318576,0.049962104,-9.800634101,-0.000827284,0.539139986,-0.003485749
1633451994,369546496,0.500295401,-0.373149605,0.049305773,-9.806693255,0.000385345,0.534897566,-0.002306658
1633451994,379549952,0.510298967,-0.368950217,0.049249444,-9.805622411,0.00031135,0.539056182,-0.002490506
1633451994,389555456,0.520304441,-0.370272515,0.050639611,-9.807308172,0.001354156,0.537181675,7.05E-05
1633451994,399563008,0.530312061,-0.373762037,0.055478968,-9.805178174,-0.000133313,0.537236989,-0.001427263
1633451994,409566464,0.54031539,-0.381047299,0.059470819,-9.806706114,0.000670419,0.534990609,-0.001209582
1633451994,419571968,0.550320864,-0.385667068,0.060686122,-9.799840905,0.000736902,0.537906289,-0.002046778
1633451994,429579264,0.560328245,-0.389210147,0.060011803,-9.799454536,-0.000721043,0.534958243,-0.002834125
1633451994,439582464,0.570331335,-0.390554036,0.056473582,-9.796748784,-0.000338434,0.539211988,-0.001915976
1633451994,449587968,0.580337048,-0.384784805,0.05520422,-9.794178056,-0.000279473,0.534971416,-0.002518229
1633451994,459595520,0.590344429,-0.379280874,0.05334271,-9.799798234,-0.000154313,0.53832984,-0.002302468
1633451994,469598976,0.600347996,-0.375240659,0.048396695,-9.800349439,0.000524656,0.535067856,-0.0016703
1633451994,479604480,0.61035347,-0.370439798,0.051840456,-9.808320564,0.000783068,0.538143933,-0.001955434
1633451994,489612032,0.62036109,-0.373206413,0.051403513,-9.801046773,0.000938131,0.535088718,-0.00169615
1633451994,497617408,0.62836647,-0.377284038,0.05505081,-9.806244926,-0.000654816,0.53736037,-0.002187777
