Sec,NanoSec,Sec_total,Left_vel,Right_vel
1.63E+09,3.18E+08,1.63E+09,5.9964,5.9964
1.63E+09,4.16E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.16E+08,1.63E+09,3.089,6.0569
1.63E+09,6.25E+08,1.63E+09,2.7256,6.0569
1.63E+09,7.24E+08,1.63E+09,2.4228,5.9964
1.63E+09,8.23E+08,1.63E+09,1.9988,6.0569
1.63E+09,9.22E+08,1.63E+09,2.8468,6.0569
1.63E+09,2.13E+07,1.63E+09,3.6342,6.0569
1.63E+09,1.20E+08,1.63E+09,5.0273,6.0569
1.63E+09,2.20E+08,1.63E+09,3.937,6.0569
1.63E+09,3.18E+08,1.63E+09,3.3919,6.0569
1.63E+09,4.18E+08,1.63E+09,4.785,6.0569
1.63E+09,5.17E+08,1.63E+09,5.5724,6.0569
1.63E+09,6.16E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.26E+08,1.63E+09,6.0569,6.0569
1.63E+09,8.24E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.24E+08,1.63E+09,6.0569,5.3301
1.63E+09,2.25E+07,1.63E+09,6.0569,5.5118
1.63E+09,1.23E+08,1.63E+09,6.0569,3.937
1.63E+09,2.20E+08,1.63E+09,6.0569,3.5736
1.63E+09,3.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.18E+08,1.63E+09,6.0569,5.5118
1.63E+09,6.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.16E+08,1.63E+09,4.785,6.0569
1.63E+09,8.26E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.25E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.33E+07,1.63E+09,6.0569,4.5427
1.63E+09,1.23E+08,1.63E+09,6.0569,4.0581
1.63E+09,2.21E+08,1.63E+09,6.0569,5.3301
1.63E+09,3.21E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.20E+08,1.63E+09,6.0569,5.3301
1.63E+09,5.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.17E+08,1.63E+09,6.0569,5.5118
1.63E+09,8.16E+08,1.63E+09,6.0569,4.9667
1.63E+09,9.26E+08,1.63E+09,6.0569,3.9976
1.63E+09,2.45E+07,1.63E+09,6.0569,3.937
1.63E+09,1.23E+08,1.63E+09,6.0569,4.1793
1.63E+09,2.22E+08,1.63E+09,6.0569,5.3907
1.63E+09,3.21E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.19E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.19E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,8.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.16E+08,1.63E+09,6.0569,6.0569
