t,X,Y,Z,qW,qX,qY,qZ
0,5.1310822243816e-05,1.55754688176627e-05,0.000951456212494321,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.1,5.1866214059401e-05,3.80712941634395e-05,0.000918034215562239,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.1,0.000108399856658654,1.12974226530542e-05,0.000766394637153424,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.2,0.000122864821590002,2.42914648335312e-05,0.000720038529147047,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.2,0.00012611222006827,2.72086502642262e-05,0.000709631538474561,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.3,0.000126841264117724,2.78635717687645e-05,0.000707295158919864,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.3,0.000127004935199685,2.80106128515071e-05,0.000706770639318268,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.4,0.000127041679510847,2.80436342937027e-05,0.000706652884001655,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.4,0.000127049928640227,2.80510582174071e-05,0.000706626447656443,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.5,0.000127051780574027,2.80527354737744e-05,0.000706620512507535,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.5,0.000127052196331307,2.80531225978486e-05,0.00070661917989676,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.6,0.000127052286836276,2.80532166347153e-05,0.000706618889642444,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.6,0.000127052309980654,2.8053251070529e-05,0.000706618815244599,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.7,0.000127052315172963,2.80532693798052e-05,0.000706618798378043,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.7,0.000127052316335015,2.80532840686694e-05,0.000706618794427316,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.8,0.00012705231659227,2.80532979447295e-05,0.000706618793376205,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.8,0.000127052316646398,2.80533116383352e-05,0.00070661879297606,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.9,0.000127052316654923,2.80533252909657e-05,0.000706618792722059,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
0.9,0.000127052316653211,2.8053338934407e-05,0.000706618792500866,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1,0.0001270523166492,2.80533525757828e-05,0.000706618792287039,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1,0.000127052316644673,2.80533662166983e-05,0.000706618792074865,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.1,0.000127052316640031,2.80533798574808e-05,0.000706618791863063,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.1,0.000127052316635362,2.80533934982575e-05,0.000706618791651344,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.2,0.000127052316630688,2.80534071390346e-05,0.000706618791439644,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.2,0.000127052316626012,2.80534207798117e-05,0.000706618791227948,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.3,0.000127052316621336,2.80534344205889e-05,0.000706618791016253,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.3,0.00012705231661666,2.8053448061366e-05,0.000706618790804558,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.4,0.000127052316611984,2.80534617021432e-05,0.000706618790592864,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.4,0.000127052316607308,2.80534753429203e-05,0.00070661879038117,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.5,0.000127052316602632,2.80534889836975e-05,0.000706618790169475,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.5,0.000127052316597956,2.80535026244746e-05,0.000706618789957781,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.6,-5.17871807389492e-05,-0.000266696304325906,0.000804845228948157,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.6,-9.85341373712722e-05,-0.000402992292703568,0.000830174705813921,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.7,-6.27296755766411e-05,-0.000372261514540611,0.000762799202062841,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
1.7,-5.96706102830778e-05,-0.000432951417209807,0.000752239443051256,0.999969881581385,-0.00775894390829777,7.44550416644409e-05,0.00017080979022331
