id,t,ax,ay,az,wx,wy,wz,qw,qx,qy,qz
i,0,0.0232393436583457,-0.0536503416448832,-9.80838252288103,0.00121432391460985,0.551137804985046,-0.00336107984185219,-0.193429368221913,0.801852601611098,0.334562062801113,0.455725454115307
i,0.0100023746490479,0.0268453916265629,-0.0590911033601267,-9.81415526106358,-0.000210145517485216,0.552648842334747,-0.00382342911325395,-0.193434489064007,0.801845394500002,0.334585791476825,0.455718520958727
i,0.020000696182251,0.0324047816026607,-0.0639190760724246,-9.81752678332329,0.000396238989196718,0.553133308887482,-0.00205571134574711,-0.19344232837783,0.801844003654002,0.334586255092159,0.455717425140666
i,0.0300009250640869,0.0420483310532756,-0.066036223490024,-9.80966847103834,-0.00063354941084981,0.550455212593079,-0.00238216877914965,-0.193433877934703,0.801855551890494,0.334572093751059,0.455711124186813
i,0.0400035381317139,0.04926997113619,-0.0669087091753492,-9.81212112488747,0.000153307119035162,0.554109394550323,-0.00180271780118346,-0.193424194696258,0.801861621036679,0.334534920230672,0.455731723459023
i,0.0500020980834961,0.0503514233970782,-0.0600206164623145,-9.8084012275815,0.000329354894347489,0.551199793815613,-0.0023831722792238,-0.193419695520179,0.801870050406381,0.334530368371033,0.455722103440851
i,0.0600025653839111,0.0520756716401083,-0.0569968390611932,-9.81008231253624,-2.97405349556357e-05,0.554801881313324,-0.00161449855659157,-0.193456826893717,0.801842275633213,0.334577193519729,0.455720839035395
i,0.072002649307251,0.0435424557682825,-0.0525679623688105,-9.80956676422953,0.000534356920979917,0.550158202648163,-0.000971729517914355,-0.193473116650667,0.801836838689755,0.33460800286599,0.455701051090019
i,0.0820047855377197,0.0365166830340517,-0.0505569285070756,-9.81322470221519,0.00108000228647143,0.551944673061371,-0.00225462298840284,-0.193466994820921,0.801840273657908,0.33459908880753,0.455704096199824
i,0.0920035839080811,0.0273960706121521,-0.0529743649123469,-9.8074262450695,0.000907850044313818,0.548575043678284,-0.00265783304348588,-0.193448545037985,0.801855046128311,0.334589373958948,0.455693127482499
i,0.102003812789917,0.0271907230490702,-0.0552130152511876,-9.79928034801483,-0.000631067086942494,0.554167807102203,-0.0027731079608202,-0.193410697168022,0.801878458702659,0.334521201431482,0.455717951976272
i,0.112012147903442,0.0258127126941341,-0.061097493012785,-9.795655143255,0.000397437834180892,0.550783276557922,-0.000903866661246866,-0.193373966189545,0.801912155108044,0.334451933085954,0.455725180160792
i,0.122010707855225,0.034113571981655,-0.0646691911868285,-9.80618822770715,0.00076880503911525,0.553934216499329,-0.00278041581623256,-0.193382153214868,0.801907223926768,0.334461753301658,0.455723104428503
i,0.13201117515564,0.0412082908994053,-0.0668838441621512,-9.8170954061687,0.00117795402184129,0.553398430347443,-0.00149881595280021,-0.193402394238866,0.801897614445307,0.334471109902027,0.455724484737791
