id,t,w_l,w_r
e,0,0,0
e,0.0987861156463623,0,0
e,0.197845935821533,0,0
e,0.29647159576416,0,0
e,0.395718574523926,0,0
e,0.494573354721069,0,0
e,0.593531370162964,0,0
e,0.692490577697754,0,0
e,0.791530132293701,0,0
e,0.890554666519165,0,0
e,0.989393949508667,0,0
e,1.09935235977173,0,0
e,1.19826698303223,0,0
e,1.29723978042603,0,0
e,1.39710140228271,0,0
e,1.49594688415527,0,0
e,1.59494256973267,0,0
e,1.69364356994629,0,0
e,1.80340909957886,0,0
e,1.89168906211853,0,0
e,1.99102258682251,0,0
e,2.10097074508667,0,0
e,2.19969964027405,0,0
e,2.29907274246216,0,0
e,2.39727163314819,0,0
e,2.49676322937012,0,0
e,2.59522104263306,0,0
e,2.69432377815247,0,0
e,2.79378414154053,0,0
e,2.99171495437622,0,0
e,3.0904757976532,0,0
e,3.18941736221313,0,0
e,3.29909324645996,0,0
e,3.39851498603821,0,0
e,3.49807715415955,0,0
e,3.59690189361572,0,0
e,3.69577097892761,0,0
e,3.79468750953674,0,0
e,3.8931028842926,0,0
e,3.99254012107849,0,0
e,4.09211683273315,0,0
e,4.19063878059387,0,0
e,4.29158711433411,0,0
e,4.49899649620056,0,0
e,4.59783792495728,0,0
e,4.79596734046936,0,0
e,4.99377226829529,0,0
e,5.09297394752502,0,0
e,5.19129610061646,0,0
e,5.29333829879761,0,0
e,5.38937163352966,0,0
e,5.60275316238403,0,0
e,5.79718446731567,0,0
e,5.89531636238098,0,0
e,5.99481821060181,0,0
e,6.09367823600769,0,0
e,6.19222283363342,0,0
e,6.29179120063782,0,0
e,6.39027285575867,0,0
e,6.48945426940918,0,0
e,6.59914565086365,0,0
e,6.71026182174683,0,0
e,6.797935962677,0,0
e,6.89719581604004,0,0
e,6.99564814567566,0,0
e,7.09474897384644,0,0
e,7.2926504611969,0,0
e,7.49093222618103,0,0
e,7.58950996398926,0,0
e,7.70009446144104,0,0
e,7.79852986335754,0,0
e,8.00021719932556,0,0
e,8.0952742099762,0,0
e,8.19456577301025,0,0
e,8.2941255569458,0,0
e,8.39240145683289,0,0
e,8.50283789634705,0,0
e,8.59062361717224,0,0
e,8.81071996688843,0,0
e,8.89817881584167,0,0
e,9.09621405601501,0,0
e,9.19568681716919,0,0
e,9.29526305198669,0,0
e,9.39382386207581,0,0
e,9.49218010902405,0,0
e,9.59171414375305,0,0
e,9.69096112251282,0,0
e,9.78945708274841,0,0
e,9.89999890327454,0,0
e,9.99917221069336,0,0
e,10.0979568958282,0,0
e,10.196400642395,0,0
e,10.2960209846497,0,0
e,10.394243478775,0,0
e,10.4937257766724,0,0
e,10.5925393104553,0,0
e,10.8893744945526,0,0
e,10.999363899231,0,0
e,11.0991468429565,0,0
e,11.1975135803223,0,0
e,11.2969608306885,0,0
e,11.3962202072144,0,0
e,11.4942440986633,0,0
e,11.5938746929169,0,0
e,11.6928703784943,0,0
e,11.7913229465485,0,0
e,11.9893343448639,0,0
e,12.09947514534,0,0
e,12.200489282608,0,0
e,12.2979974746704,0,0
e,12.3969388008118,0,0
e,12.4962122440338,0,0
e,12.5947391986847,0,0
e,12.6936066150665,0,0
e,12.7927756309509,0,0
e,12.8918392658234,0,0
e,12.9904501438141,0,0
e,13.0894024372101,0,0
e,13.1999413967133,0,0
e,13.2985558509827,0,0
e,13.3984889984131,0,0
e,13.4966490268707,0,0
e,13.5958960056305,0,0
e,13.6952712535858,0,0
e,13.7937445640564,0,0
e,13.9921989440918,0,0
