,Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z,w_left,w_right,X,Y,Z,qX,qY,qZ,qW,v_x,v_y,v_z
i,1633451994,99385600,0.230134487,-0.375804503,0.053810629,-9.803481891,-4.76E-05,0.53850323,-0.000985025,,,,,,,,,,,,
p,1633451994,356444750,0.233430147,,,,0,-2.08E-16,0,,,-0.160067679,0.150983879,0.077102715,0.019550167,-0.021773111,-0.002198462,0.999569352,-0.006795345,0.004648917,0.029011151
i,1633451994,109389312,0.240138292,-0.379813337,0.057235013,-9.807075532,0.00075224,0.535161734,-0.000865092,,,,,,,,,,,,
i,1633451994,119394816,0.250143766,-0.387653419,0.06072391,-9.801724819,0.00110236,0.537700355,-0.002025182,,,,,,,,,,,,
i,1633451994,129402112,0.260151148,-0.390639705,0.05747316,-9.801088274,0.000607052,0.536371231,-0.000594018,,,,,,,,,,,,
p,1633451994,389836750,0.2668221,,,,0,-2.09E-16,0,,,-0.160336071,0.151102417,0.07806602,0.019550167,-0.021773111,-0.002198462,0.999569352,-0.022829991,0.004749153,0.030192907
of,1633451994,175268650,0.267221451,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
of,1633451994,175268650,0.267221451,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,139411712,0.270160675,-0.391340437,0.055921976,-9.798271463,-0.000254597,0.537331998,-0.002323319,,,,,,,,,,,,
i,1633451994,149417472,0.280166388,-0.38650783,0.05327696,-9.808076233,0.000284634,0.536751747,-0.002648226,,,,,,,,,,,,
i,1633451994,159425024,0.290174007,-0.380283585,0.048840928,-9.802436766,-0.000390441,0.54032886,-0.002277996,,,,,,,,,,,,
of,1633451994,205340147,0.297292948,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
ho,1633451994,205340036,0.297292948,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
e,1633451994,205340036,0.297292948,,,,,,,0,0,,,,,,,,,,
p,1633451994,423075750,0.300060987,,,,0,-2.08E-16,0,,,-0.161137398,0.151225005,0.079041099,0.019550167,-0.021773111,-0.002198462,0.999569352,0.037981569,-0.001187327,0.012011083
i,1633451994,169428480,0.300177574,-0.373513871,0.04666905,-9.80621044,0.000498419,0.536367297,-0.002425014,,,,,,,,,,,,
i,1633451994,179433984,0.310183048,-0.371324289,0.05101513,-9.802180746,0.00103858,0.539208889,-0.0020568,,,,,,,,,,,,
i,1633451994,189441536,0.32019043,-0.373212149,0.052330889,-9.806059048,0.001266198,0.536254585,-0.002355986,,,,,,,,,,,,
of,1633451994,235299349,0.32725215,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
of,1633451994,235299349,0.32725215,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,199444992,0.330193996,-0.374753496,0.055917099,-9.803685889,0.000750111,0.536539435,-0.00048379,,,,,,,,,,,,
p,1633451994,456426750,0.33341217,,,,-3.35E-43,-2.07E-16,-0.007296513,,,-0.159889492,0.151163173,0.079494474,0.019550167,-0.021773111,-0.002198462,0.999569352,-0.020012125,-0.001590515,0.013647473
i,1633451994,209450240,0.340199232,-0.382062833,0.060045573,-9.801109317,0.000921103,0.53514564,-0.001511281,,,,,,,,,,,,
i,1633451994,219457792,0.350206852,-0.384845595,0.060839573,-9.801430804,0.000863511,0.538114369,2.21E-05,,,,,,,,,,,,
i,1633451994,229461504,0.360210419,-0.390167777,0.06134307,-9.799193839,-0.000128394,0.536385417,-0.001846215,,,,,,,,,,,,
p,1633451994,489886750,0.366872072,,,,0,2.07E-16,0,,,-0.160578565,0.151095787,0.079919165,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.012514214,-0.001366701,0.010778976
of,1633451994,275241852,0.367194653,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,239467008,0.370215893,-0.389460542,0.058447417,-9.802132815,0.000472317,0.538401723,-0.001993801,,,,,,,,,,,,
i,1633451994,249474304,0.380223274,-0.383161332,0.053740184,-9.800704828,-0.000320154,0.534033358,-0.002424558,,,,,,,,,,,,
of,1633451994,295248270,0.387201071,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,259478016,0.390227079,-0.376279756,0.051488684,-9.805167068,0.000726204,0.537975788,-0.00190367,,,,,,,,,,,,
e,1633451994,304125169,0.396077871,,,,,,,0,0,,,,,,,,,,
of,1633451994,304125071,0.396077871,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
ho,1633451994,304125169,0.396077871,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,269483520,0.400232553,-0.371293455,0.05026923,-9.804050047,3.77E-05,0.535400927,-0.002969751,,,,,,,,,,,,
p,1633451994,523473750,0.400459051,,,,0,2.10E-16,0,,,-0.16101444,0.151038112,0.080260524,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.010897366,-0.001248998,0.009726115
i,1633451994,279491072,0.410240173,-0.3710515,0.049958816,-9.80734675,-0.000390541,0.538649619,-0.001921082,,,,,,,,,,,,
i,1633451994,289494528,0.420243502,-0.369128532,0.05211388,-9.806382873,-0.000312563,0.535946786,-0.001267709,,,,,,,,,,,,
of,1633451994,335229635,0.427182436,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,299500032,0.430248976,-0.375691581,0.053306118,-9.806913035,0.000490854,0.537423134,-0.002254451,,,,,,,,,,,,
p,1633451994,556524750,0.433510065,,,,0,1.04E-16,0,,,-0.16138844,0.150986308,0.080564171,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.004871394,-0.000562147,0.004369788
i,1633451994,309507584,0.440256596,-0.382238774,0.059052817,-9.801968564,0.000895239,0.534765899,-0.001222934,,,,,,,,,,,,
of,1633451994,355288506,0.447241306,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
of,1633451994,355288506,0.447241306,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,319510784,0.450259686,-0.389038627,0.059049881,-9.800765618,-0.000742157,0.537536144,-0.001735394,,,,,,,,,,,,
i,1633451994,329516544,0.460265636,-0.391361955,0.056789653,-9.799225987,0.000932677,0.536197722,-0.002437192,,,,,,,,,,,,
i,1633451994,339523840,0.470272779,-0.392295217,0.056680211,-9.79852047,-0.000455393,0.53806901,-0.002032907,,,,,,,,,,,,
i,1633451994,349527552,0.480276585,-0.389008268,0.05313488,-9.800755681,-0.00015737,0.534683824,-0.002062453,,,,,,,,,,,,
of,1633451994,395243883,0.487196684,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,359538944,0.490288019,-0.379318576,0.049962104,-9.800634101,-0.000827284,0.539139986,-0.003485749,,,,,,,,,,,,
e,1633451994,402862964,0.494815826,,,,,,,0,0,,,,,,,,,,
of,1633451994,402863026,0.494815826,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
