,Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z,w_left,w_right,X,Y,Z,qX,qY,qZ,qW,v_x,v_y,v_z
i,1633452029,177838336,35.30858731,-0.246445188,-0.499757302,-8.667712605,-0.014154721,0.534027517,0.005334583,,,,,,,,,,,,
i,1633452029,187839744,35.31858873,-0.3751513,-0.540089458,-9.207322755,-0.017658098,0.536577046,0.010613405,,,,,,,,,,,,
of,1633452029,235241652,35.32719445,,,,0,0,-0.022382371,,,18.85525359,10.61885566,0,0,0,0.293125828,0.956073872,1.014312823,0,0
i,1633452029,197843200,35.3285923,-0.36375031,-0.327852337,-9.516524898,-0.006821775,0.538601875,0.010106567,,,,,,,,,,,,
p,1633452029,458702750,35.33568811,,,,-0.016397759,0.040166144,-0.026440592,,,16.52406896,-11.52812759,-1.468767006,0.033750634,-0.005346227,-0.394742002,0.91815634,0.878616128,0.037275715,-0.019903275
i,1633452029,207842560,35.33859158,-0.535299922,-0.348183652,-9.75185458,0.019624442,0.540377676,0.002428167,,,,,,,,,,,,
of,1633452029,255257368,35.34721017,,,,0,0,-0.022382371,,,18.87206824,10.63023592,0,0,0,0.292911661,0.956139508,1.014469205,0,0
i,1633452029,217843968,35.348593,-1.037411788,-0.279557585,-10.3082937,0.020348417,0.538978934,-0.002158335,,,,,,,,,,,,
i,1633452029,227847424,35.35859632,-1.365216632,-0.29563612,-11.19928392,0.020106312,0.543787658,-0.003929053,,,,,,,,,,,,
of,1633452029,275284290,35.36723709,,,,0,0,-0.022382371,,,18.8889,10.64161677,0,0,0,0.292697359,0.956205133,1.014625674,0,0
i,1633452029,237847040,35.36859608,-1.054599216,-0.375674739,-10.00161377,0.009623444,0.537106395,-0.00431235,,,,,,,,,,,,
p,1633452029,491994750,35.36898017,,,,0.029372122,0.003297824,-0.008387672,,,16.54511698,-11.54845946,-1.469858885,0.033766284,-0.004609737,-0.395124863,0.91799506,0.907781135,0.024776671,-0.050189398
i,1633452029,247848448,35.3785975,-0.087404882,-0.371801624,-9.015505468,0.003040222,0.538227975,-0.005749071,,,,,,,,,,,,
i,1633452029,257851648,35.38860059,0.699392351,-0.41481743,-8.386932839,-0.008464604,0.536378324,-0.006620069,,,,,,,,,,,,
i,1633452029,267856896,35.39860582,0.83993684,-0.53103631,-8.679086817,-0.02869151,0.540015459,-0.008243408,,,,,,,,,,,,
ho,1633452029,307243213,35.39919591,,,,0,0,0.122507951,,,18.98120947,10.736426,0,0,0,0.299467554,0.954106485,1.024631773,0,0
e,1633452029,307243213,35.39919591,,,,,,,6.056935191,6.056935191,,,,,,,,,,
i,1633452029,277857792,35.40860677,0.530394249,-0.645705842,-9.401126249,-0.028253462,0.539526761,-0.015602874,,,,,,,,,,,,
i,1633452029,287860736,35.41860962,-0.007770785,-0.810810918,-10.68850765,-0.012950731,0.541803539,-0.017748456,,,,,,,,,,,,
of,1633452029,335255146,35.42720795,,,,0,0,0.010375486,,,18.93719041,10.6802596,0,0,0,0.298398689,0.954441314,1.022813771,0,0
i,1633452029,297859840,35.42860889,-0.288465242,-0.791488304,-11.93917875,-0.001341008,0.535334229,-0.015200157,,,,,,,,,,,,
i,1633452029,307861248,35.43861032,-0.115722329,-0.776020029,-11.42179153,0.01663876,0.537507355,-0.009954325,,,,,,,,,,,,
of,1633452029,355289936,35.44724274,,,,0,0,0.010375486,,,18.95403505,10.69193335,0,0,0,0.298497888,0.954410295,1.023062089,0,0
of,1633452029,355289936,35.44724274,,,,0,0,0.010375486,,,18.95403505,10.69193335,0,0,0,0.298497888,0.954410295,1.023062089,0,0
i,1633452029,327864064,35.45861316,0.305112353,-0.185559196,-9.270866715,0.018763643,0.536062419,-0.001403838,,,,,,,,,,,,
i,1633452029,337865472,35.46861458,0.378461046,-0.022159362,-8.980198592,0.005379911,0.5320822,-0.003625085,,,,,,,,,,,,
p,1633452029,592266750,35.46925211,,,,-7.73E-15,-0.024663399,-0.007436294,,,16.60967236,-11.61254542,-1.476388646,0.035185351,-0.005025611,-0.395498062,0.91777885,0.929223917,0.046017504,-0.10856529
i,1633452029,347868928,35.47861791,0.324053967,-0.168537882,-8.928741376,-0.008691244,0.537789881,-0.010706634,,,,,,,,,,,,
of,1633452029,395231247,35.48718405,,,,0,0,0.010375486,,,18.98762384,10.71522154,0,0,0,0.29869564,0.954348424,1.023557133,0,0
i,1633452029,357868288,35.48861718,-0.039729524,-0.272584093,-8.832406324,-0.008722336,0.535193145,-0.01539747,,,,,,,,,,,,
e,1633452029,405659031,35.49761176,,,,,,,6.056935191,6.056935191,,,,,,,,,,
ho,1633452029,405659031,35.49761176,,,,0,0,-2.59E-05,,,19.06288954,10.79324691,0,0,0,0.299021781,0.954246286,1.003203325,0,0
i,1633452029,367869696,35.4986186,-0.438104454,-0.446800276,-9.901330856,-0.008803158,0.53795886,-0.013394313,,,,,,,,,,,,
p,1633452029,625097750,35.50208306,,,,0.012574764,0.019208269,0.007260043,,,16.63186058,-11.6334573,-1.480395967,0.03502584,-0.005392889,-0.395624305,0.917728455,0.919317806,0.015710812,-0.0377051
i,1633452029,377873152,35.50862217,-0.821563344,-0.63616776,-10.09669093,-0.005208157,0.534752667,-0.00463145,,,,,,,,,,,,
i,1633452029,387872512,35.51862144,-0.93142701,-0.67610288,-9.635266428,0.001060501,0.538224041,0.001470526,,,,,,,,,,,,
i,1633452029,397873920,35.52862287,-0.807778199,-0.555081276,-9.098352678,0.011939541,0.534689605,0.006172885,,,,,,,,,,,,
p,1633452029,658725750,35.53571105,,,,-0.017874775,0.014594692,-0.010320005,,,16.65353021,-11.65547636,-1.482184841,0.035346989,-0.005184415,-0.395499793,0.917771009,0.973557021,0.015552022,-0.060213981
i,1633452029,407877120,35.53862619,-0.523718936,-0.400384306,-9.327940601,0.001072523,0.540089905,0.007402454,,,,,,,,,,,,
i,1633452029,417876224,35.54862523,-0.185582028,-0.272994848,-9.65297335,0.002291177,0.538692951,0.001221746,,,,,,,,,,,,
i,1633452029,427877376,35.55862641,-0.132853615,-0.225449271,-9.546234977,0.011568361,0.542082489,-0.009848217,,,,,,,,,,,,
of,1633452029,475287676,35.56724048,,,,0,0,0.008026587,,,19.0532487,10.76030375,0,0,0,0.29859195,0.954380871,1.00796019,0,0
p,1633452029,692181750,35.56916714,,,,-8.70E-29,-3.14E-16,-0.018029468,,,16.67635876,-11.67865852,-1.484767561,0.035170016,-0.004835989,-0.395651116,0.917714486,0.923549778,0.027762643,-0.04994075
i,1633452029,438879488,35.56962848,-0.301704225,-0.093423385,-10.43377418,0.013676422,0.538130522,-0.017196884,,,,,,,,,,,,
of,1633452029,495328188,35.58728099,,,,0,0,0.008026587,,,19.06984725,10.7718169,0,0,0,0.298668708,0.954356853,1.008016359,0,0
e,1633452029,505401362,35.59735417,,,,,,,6.056935191,6.056935191,,,,,,,,,,
of,1633452029,505401373,35.59735417,,,,0,0,0.006196709,,,19.07592639,10.77572175,0,0,0,0.298379084,0.954447443,0.969970022,0,0
ho,1633452029,505401362,35.59735417,,,,0,0,-6.31E-05,,,19.13718146,10.84492824,0,0,0,0.299467554,0.954106485,0.959177134,0,0
p,1633452029,725350750,35.60233617,,,,0.029501798,0.00737545,6.81E-15,,,16.69812268,-11.70019009,-1.486938159,0.035171461,-0.004825473,-0.395925504,0.917596141,0.934451596,0.008429993,-0.049920663
i,1633452029,478896640,35.60964561,0.771727373,-0.234187161,-9.285044293,0.003468881,0.534971118,-0.008372134,,,,,,,,,,,,
i,1633452029,488902656,35.61965156,0.746997275,-0.257653468,-9.20957901,0.006061552,0.540786803,-0.009587967,,,,,,,,,,,,
of,1633452029,535242319,35.62719512,,,,0,0,0.006196709,,,19.09970993,10.79220288,0,0,0,0.298467329,0.954419852,0.969369684,0,0
i,1633452029,498904832,35.62965393,0.272427551,-0.277862435,-9.248674756,0.022625668,0.539386332,-0.016379772,,,,,,,,,,,,
p,1633452029,758452750,35.63543797,,,,-0.040890136,0.027046284,4.56E-15,,,16.71961954,-11.72238364,-1.489158501,0.035667832,-0.004906784,-0.395918805,0.91757944,0.939127673,-0.060435158,-0.042491434
i,1633452029,508909312,35.63965821,-0.502150334,-0.245474954,-9.851386967,0.037064619,0.54050976,-0.022373253,,,,,,,,,,,,
of,1633452029,555294514,35.64724731,,,,0,0,0.006196709,,,19.11568142,10.80327491,0,0,0,0.298526625,0.954401307,0.968966275,0,0
of,1633452029,555294514,35.64724731,,,,0,0,0.006196709,,,19.11568142,10.80327491,0,0,0,0.298526625,0.954401307,0.968966275,0,0
i,1633452029,518909696,35.64965868,-1.124511395,-0.178963889,-10.87253385,0.017820481,0.537494183,-0.021947259,,,,,,,,,,,,
i,1633452029,528912128,35.65966105,-0.977308105,-0.474058614,-10.48261917,-0.003721037,0.536324441,-0.014867482,,,,,,,,,,,,
p,1633452029,792227750,35.66921306,,,,0.021957758,-0.021957758,-0.007319253,,,16.73996348,-11.74674815,-1.491354797,0.035215034,-0.004214287,-0.395905766,0.917605997,0.927388562,-0.043772797,-0.058030134
i,1633452029,538916608,35.66966558,-0.37865686,-0.72072455,-9.256811301,-0.02055677,0.533157289,-0.003935015,,,,,,,,,,,,
i,1633452029,548916992,35.67966604,0.01863785,-0.770740042,-9.300734614,-0.034046855,0.537088633,0.006201577,,,,,,,,,,,,
of,1633452029,595264912,35.68721771,,,,0,0,0.006196709,,,19.1474951,10.82533519,0,0,0,0.298644818,0.954364329,0.968162152,0,0
i,1633452029,558919168,35.68966818,0.159256003,-0.789354434,-9.620579731,-0.030857716,0.537245035,0.01136743,,,,,,,,,,,,
of,1633452029,603438139,35.69539094,,,,0,0,0.005855202,,,19.15729036,10.83207024,0,0,0,0.298607832,0.954375902,1.020109595,0,0
ho,1633452029,603438052,35.69539094,,,,0,0,0.004683875,,,19.23073424,10.9100733,0,0,0,0.299467554,0.954106485,1.035083943,0,0
e,1633452029,603438052,35.69539094,,,,,,,6.056935191,6.056935191,,,,,,,,,,
i,1633452029,568923136,35.69967222,0.196594439,-0.872186374,-9.72366835,-0.006016969,0.541275084,0.003713248,,,,,,,,,,,,
p,1633452029,825583750,35.70256901,,,,-0.051205579,0.006556203,-0.011355676,,,16.76020533,-11.77011629,-1.49399757,0.035406596,-0.00469101,-0.396029075,0.917543099,0.781606826,0.014500728,-0.034891716
i,1633452029,578923008,35.70967197,-0.09875596,-0.743901793,-9.821285259,0.026756736,0.539469957,-0.006398704,,,,,,,,,,,,
i,1633452029,588924928,35.71967387,-0.456946334,-0.439594327,-10.76574988,0.047237311,0.540541112,-0.013625062,,,,,,,,,,,,
of,1633452029,635313511,35.72726631,,,,0,0,0.005855202,,,19.18401268,10.8506068,0,0,0,0.298696891,0.954348033,1.020468445,0,0
of,1633452029,635313511,35.72726631,,,,0,0,0.005855202,,,19.18401268,10.8506068,0,0,0,0.298696891,0.954348033,1.020468445,0,0
i,1633452029,598929408,35.72967839,-0.475885135,-0.349539597,-10.90053011,0.046315867,0.535127282,-0.01641798,,,,,,,,,,,,
p,1633452029,862821750,35.73980713,,,,0.0423313,0.026252758,-0.016603702,,,16.78061446,-11.79083429,-1.495826712,0.034581129,-0.004193943,-0.396223032,0.917493251,1.0852879,-0.021510095,-0.04869537
i,1633452029,618931200,35.74968028,0.302613777,-0.311683584,-8.420860243,0.008914661,0.533399582,-0.003997643,,,,,,,,,,,,
i,1633452029,628935168,35.75968409,0.470532742,-0.471906405,-8.636080618,-0.015468176,0.537064493,0.001146409,,,,,,,,,,,,
of,1633452029,675240993,35.76719379,,,,0,0,0.005855202,,,19.21749431,10.87384137,0,0,0,0.298808444,0.954313111,1.020917945,0,0
p,1633452029,892229750,35.76921511,,,,-0.036613803,-0.047456912,-0.007322761,,,16.80209374,-11.81439837,-1.497939642,0.035306176,-0.004077953,-0.396430952,0.917376338,0.959908374,-0.033087933,-0.06532751
i,1633452029,638941184,35.76969028,0.383179818,-0.340920639,-9.203294231,-0.023564005,0.536467791,0.004752188,,,,,,,,,,,,
i,1633452029,648943360,35.77969241,-0.202104435,-0.505881228,-9.85341292,-0.013882632,0.538977265,0.002475357,,,,,,,,,,,,
of,1633452029,695256472,35.78720927,,,,0,0,0.005855202,,,19.23428133,10.88549654,0,0,0,0.298864364,0.9542956,1.021143277,0,0
i,1633452029,658947584,35.78969646,-1.00075642,-0.451886384,-11.19031151,-0.001343702,0.539485097,0.000970576,,,,,,,,,,,,
of,1633452029,703043938,35.79499674,,,,0,0,0.003470948,,,19.2414667,10.89007708,0,0,0,0.298459759,0.954422219,1.028595044,0,0
ho,1633452029,703044014,35.79499674,,,,0,0,-0.004690287,,,19.30420525,10.96118356,0,0,0,0.299021781,0.954246286,1.030685274,0,0
e,1633452029,703044014,35.79499674,,,,,,,6.056935191,6.056935191,,,,,,,,,,
i,1633452029,668947712,35.79969668,-1.426661427,-0.375963237,-11.63509059,0.016174303,0.537979186,7.57E-05,,,,,,,,,,,,
p,1633452029,925569750,35.80255508,,,,0.007349986,-0.007349986,-0.012730549,,,16.82330843,-11.83831122,-1.50081806,0.034433115,-0.00455742,-0.396573155,0.917345803,0.916310143,-0.005027334,-0.036944424
i,1633452029,678950144,35.80969906,-0.794628064,-0.460537746,-10.40056749,0.025098138,0.535573184,0.002016386,,,,,,,,,,,,
i,1633452029,688954624,35.81970358,0.043445379,-0.438312361,-8.741845178,0.025898689,0.536335349,0.005722132,,,,,,,,,,,,
of,1633452029,735278368,35.82723117,,,,0,0,0.003470948,,,19.26872259,10.90897124,0,0,0,0.298513151,0.954405521,1.029100808,0,0
i,1633452029,698960640,35.82970953,0.445377111,-0.147548431,-8.260563298,0.017265221,0.537791789,0.002116578,,,,,,,,,,,,
i,1633452029,708962816,35.8397119,0.454430844,-0.170888957,-9.150154761,0.004587968,0.541584849,-0.003511555,,,,,,,,,,,,
of,1633452029,755283356,35.84723616,,,,0,0,0.003470948,,,19.28564327,10.92070369,0,0,0,0.298546286,0.954395157,1.02941469,0,0
of,1633452029,755283356,35.84723616,,,,0,0,0.003470948,,,19.28564327,10.92070369,0,0,0,0.298546286,0.954395157,1.02941469,0,0
i,1633452029,718966784,35.84971571,-0.142884175,-0.386047336,-9.974698874,-0.001150238,0.542186439,-0.014776202,,,,,,,,,,,,
i,1633452029,728966656,35.8597157,-0.695187008,-0.525735354,-10.9484913,0.003680986,0.540165365,-0.020479869,,,,,,,,,,,,
p,1633452029,992002750,35.86898804,,,,-4.95E-15,-0.029171091,-0.012631453,,,16.86485815,-11.88272136,-1.504429207,0.034562178,-0.00486364,-0.396968303,0.917168451,0.900862216,0.047709365,-0.073413722
i,1633452029,738968576,35.8697176,-0.763259916,-0.731620842,-11.5194289,0.004788569,0.537708163,-0.020287098,,,,,,,,,,,,
i,1633452029,748972544,35.87972164,-0.176963911,-0.812135298,-10.19667457,-0.004560304,0.53518647,-0.011932276,,,,,,,,,,,,
of,1633452029,795324802,35.8872776,,,,0,0,0.003470948,,,19.31952513,10.94420016,0,0,0,0.298612607,0.954374408,1.030042948,0,0
i,1633452029,758972672,35.88972163,0.574570953,-1.018414461,-8.395118484,-0.003796896,0.532134116,-0.002764082,,,,,,,,,,,,
of,1633452029,801918507,35.89387131,,,,0,0,0.002694316,,,19.32163055,10.94552788,0,0,0,0.298484791,0.954414391,0.97362067,0,0
ho,1633452029,801918571,35.89387131,,,,0,0,3.47E-05,,,19.38670623,11.01857553,0,0,0,0.299467554,0.954106485,0.957490019,0,0
e,1633452029,801918571,35.89387131,,,,,,,6.056935191,6.056935191,,,,,,,,,,
i,1633452029,768974848,35.89972377,0.560399767,-0.922315117,-7.735870147,0.0062847,0.534625053,0.008827157,,,,,,,,,,,,
p,1633452030,25479750,35.90246511,,,,-0.009020552,0.030048079,-0.010986761,,,16.88675777,-11.90346196,-1.507317725,0.03436937,-0.005304168,-0.397179041,0.917082015,0.946948152,-0.012120389,-0.045167707
i,1633452029,778978816,35.90972781,0.166267544,-0.460906324,-8.837127507,0.008149263,0.538752675,0.013307956,,,,,,,,,,,,
i,1633452029,788978944,35.91972804,-0.370259765,-0.200533149,-9.941253701,0.016508723,0.540594876,0.003819374,,,,,,,,,,,,
of,1633452029,835274458,35.92722726,,,,0,0,0.002694316,,,19.34831143,10.9640255,0,0,0,0.298527678,0.954400977,0.97300922,0,0
i,1633452029,798981376,35.92973042,-0.889077668,-0.082411431,-10.57982399,0.023643682,0.54323101,-0.006253619,,,,,,,,,,,,
i,1633452029,808985600,35.9397347,-1.151740762,-0.090205902,-11.83657528,0.029200569,0.5406425,-0.015028406,,,,,,,,,,,,
of,1633452029,855293989,35.94724679,,,,0,0,0.002694316,,,19.36431567,10.97512324,0,0,0,0.298553418,0.954392926,0.972642241,0,0
i,1633452029,818985728,35.94973469,-0.793817186,-0.187695696,-11.13538399,0.019846233,0.538338184,-0.012925466,,,,,,,,,,,,
i,1633452029,828988160,35.95973706,0.104445148,-0.331677886,-9.265886003,-0.001578444,0.536843896,-0.005349449,,,,,,,,,,,,
of,1633452029,875296831,35.96724963,,,,0,0,0.002694316,,,19.38029995,10.9862084,0,0,0,0.298579136,0.95438488,0.972275568,0,0
of,1633452029,875296831,35.96724963,,,,0,0,0.002694316,,,19.38029995,10.9862084,0,0,0,0.298579136,0.95438488,0.972275568,0,0
p,1633452030,92077750,35.96906304,,,,0.026420724,-0.024303532,-0.012692105,,,16.92942814,-11.94981101,-1.511545294,0.034493226,-0.004254684,-0.397481514,0.916951777,0.943401753,0.005159166,-0.058596293
i,1633452029,838992384,35.96974134,0.504577525,-0.336027423,-7.639596469,-0.008242304,0.536967576,0.000716179,,,,,,,,,,,,
i,1633452029,848992256,35.97974133,0.375049045,-0.396686621,-8.124625134,-0.017324485,0.536942303,0.005784324,,,,,,,,,,,,
i,1633452029,868998144,35.99974704,-0.204144854,-0.498148515,-9.77007062,0.00593892,0.537937045,-0.011648636,,,,,,,,,,,,
p,1633452030,125394750,36.00238013,,,,0.040836524,2.60E-15,-0.031117461,,,16.95111652,-11.97250318,-1.514085641,0.034736772,-0.004793572,-0.3976874,0.916850648,0.906420633,0.022572381,-0.043144531
e,1633452029,911466238,36.00341892,,,,,,,6.056935191,6.056935191,,,,,,,,,,
of,1633452029,911466122,36.00341892,,,,0,0,0.00316178,,,19.41215002,11.0083785,0,0,0,0.298709401,0.954344117,1.016723234,0,0
ho,1633452029,911466238,36.00341892,,,,0,0,0.004724983,,,19.480259,11.08372059,0,0,0,0.299467554,0.954106485,1.028541165,0,0
i,1633452029,878998016,36.00974703,-0.389121848,-0.493747576,-10.83013146,0.026207225,0.539181948,-0.019589292,,,,,,,,,,,,
i,1633452029,888999936,36.01974893,-0.657079396,-0.41040787,-11.69746375,0.02914127,0.540634811,-0.022500167,,,,,,,,,,,,
of,1633452029,935255766,36.02720857,,,,0,0,0.00316178,,,19.43202318,11.02217024,0,0,0,0.298745292,0.954332882,1.016931687,0,0
i,1633452029,899003904,36.02975297,-0.468389592,-0.483350649,-11.28299213,0.02098093,0.539471686,-0.01622111,,,,,,,,,,,,
p,1633452030,158681750,36.03566694,,,,0.046173201,0.012645052,-0.012645052,,,16.97233285,-11.99392815,-1.516036423,0.035362388,-0.005045872,-0.398158834,0.916620741,0.91656734,0.019134452,-0.034882505
i,1633452029,909003776,36.03975272,-0.064923897,-0.59658781,-9.504873039,0.004952156,0.534963191,-0.009489158,,,,,,,,,,,,
of,1633452029,955306053,36.04725885,,,,0,0,0.00316178,,,19.44877487,11.03379759,0,0,0,0.298775542,0.954323412,1.017107374,0,0
i,1633452029,919011584,36.04976058,0.237858397,-0.477797508,-8.660507788,-0.015484435,0.537679255,-0.002263006,,,,,,,,,,,,
i,1633452029,929015808,36.05976486,0.316858612,-0.482848508,-8.981866233,-0.032357771,0.538023174,0.000607696,,,,,,,,,,,,
of,1633452029,975308418,36.06726122,,,,0,0,0.00316178,,,19.46548868,11.04540021,0,0,0,0.298805719,0.954313964,1.017282642,0,0
of,1633452029,975308418,36.06726122,,,,0,0,0.00316178,,,19.46548868,11.04540021,0,0,0,0.298805719,0.954313964,1.017282642,0,0
p,1633452030,192122750,36.06910801,,,,-0.070418745,-0.007341661,0.007341661,,,16.9937706,-12.01580892,-1.517741849,0.036155294,-0.005151985,-0.398341128,0.916510009,0.932428474,-0.025723354,-0.057908121
i,1633452029,939021568,36.06977057,0.06775196,-0.555730935,-8.990748043,-0.041744027,0.539463222,-0.005231412,,,,,,,,,,,,
i,1633452029,949024000,36.07977295,-0.271263074,-0.626584085,-9.884714067,-0.028636571,0.539589584,-0.013217251,,,,,,,,,,,,
i,1633452029,959028224,36.08977723,-0.642679626,-0.722162693,-10.89898113,-0.016593875,0.539998889,-0.015756058,,,,,,,,,,,,
i,1633452029,969028096,36.09977698,-0.573521224,-0.802114547,-10.97635312,-0.005910806,0.535628378,-0.013485102,,,,,,,,,,,,
p,1633452030,225376750,36.10236216,,,,-0.002504706,-0.021525215,-0.011154305,,,17.01438647,-12.03892234,-1.520318041,0.035032912,-0.004801873,-0.398239416,0.916599697,0.936259924,0.001889889,-0.044584708
e,1633452030,11391646,36.10334444,,,,,,,6.056935191,6.056935191,,,,,,,,,,
of,1633452030,11391640,36.10334444,,,,0,0,0.002438103,,,19.4897288,11.0621076,0,0,0,0.298729994,0.954337671,0.926316561,0,0
ho,1633452030,11391646,36.10334444,,,,0,0,1.82E-14,,,19.54262752,11.12715063,0,0,0,0.299467554,0.954106485,0.900605103,0,0
i,1633452029,979030016,36.10977912,-0.17025212,-0.771567506,-9.746326172,0.005119391,0.536965668,-0.007745869,,,,,,,,,,,,
i,1633452029,989033984,36.11978292,0.104881722,-0.511444853,-8.948633241,0.010780728,0.53681016,-0.001535014,,,,,,,,,,,,
of,1633452030,35252571,36.12720537,,,,0,0,0.002438103,,,19.50787589,11.07470263,0,0,0,0.298757753,0.954328981,0.925214607,0,0
i,1633452029,999033856,36.12978292,0.257615273,-0.259608639,-9.51073404,7.39E-06,0.539340854,0.000917088,,,,,,,,,,,,
i,1633452030,9035520,36.13978457,0.199649151,-0.080917849,-9.413110116,-0.015783327,0.536017478,-0.005599769,,,,,,,,,,,,
of,1633452030,55305719,36.14725852,,,,0,0,0.002438103,,,19.5231097,11.08527701,0,0,0,0.298781083,0.954321678,0.924288505,0,0
of,1633452030,55305719,36.14725852,,,,0,0,0.002438103,,,19.5231097,11.08527701,0,0,0,0.298781083,0.954321678,0.924288505,0,0
i,1633452030,19039744,36.14978862,0.116986092,-0.187524559,-9.59815981,-0.015708029,0.541962504,-0.012316,,,,,,,,,,,,
i,1633452030,29039616,36.15978861,-0.348954673,-0.306889007,-10.48819668,-0.017456787,0.539044797,-0.014138249,,,,,,,,,,,,
i,1633452030,39041536,36.16979051,-0.737667575,-0.512274655,-10.98198207,-0.014609419,0.539040804,-0.009596205,,,,,,,,,,,,
i,1633452030,49045504,36.17979455,-0.427882627,-0.719093149,-10.05111342,-0.000120035,0.53327173,0.000188464,,,,,,,,,,,,
of,1633452030,95229864,36.18718266,,,,0,0,0.002438103,,,19.55339251,11.10629967,0,0,0,0.298827529,0.954307135,0.922444713,0,0
i,1633452030,59045376,36.1897943,0.066112773,-0.62626384,-8.326021567,0.014983385,0.537448585,0.007247096,,,,,,,,,,,,
i,1633452030,69047296,36.1997962,0.242082828,-0.452744279,-8.554819801,0.022140458,0.535203993,0.009504224,,,,,,,,,,,,
of,1633452030,110082865,36.20203567,,,,0,0,0.001883175,,,19.56648398,11.11529511,0,0,0,0.298744902,0.954333004,0.949824918,0,0
ho,1633452030,110082874,36.20203567,,,,0,0,1.65E-14,,,19.63618029,11.19229569,0,0,0,0.299467554,0.954106485,0.957842591,0,0
e,1633452030,110082874,36.20203567,,,,,,,6.056935191,6.056935191,,,,,,,,,,
p,1633452030,325433750,36.20241904,,,,0.049615036,0.016538346,-0.016538346,,,17.07861011,-12.10699207,-1.52644739,0.034491857,-0.005719479,-0.39878894,0.916376004,0.927901961,0.077895352,-0.072253065
i,1633452030,79051264,36.20980024,-0.005412584,-0.148893882,-9.095217302,0.016189737,0.541128218,0.005664346,,,,,,,,,,,,
i,1633452030,89051392,36.21980047,-0.362812883,-0.127726591,-9.780046655,0.009072634,0.538124621,-0.004715618,,,,,,,,,,,,
of,1633452030,135336876,36.22728968,,,,0,0,0.001883175,,,19.58618161,11.12896722,0,0,0,0.298767595,0.9543259,0.949085532,0,0
of,1633452030,135336876,36.22728968,,,,0,0,0.001883175,,,19.58618161,11.12896722,0,0,0,0.298767595,0.9543259,0.949085532,0,0
i,1633452030,99053568,36.22980261,-0.611938158,-0.137753096,-10.26623852,0.018718578,0.53986907,-0.014773279,,,,,,,,,,,,
p,1633452030,358442750,36.23542809,,,,0.020549218,-1.76E-15,-0.016245584,,,17.10145967,-12.12750726,-1.529180511,0.035352651,-0.005786488,-0.39902481,0.916240093,0.92644421,0.054963637,-0.064141095
i,1633452030,109057536,36.23980641,-0.766806429,-0.184986346,-11.11538165,0.009576797,0.537257731,-0.020415494,,,,,,,,,,,,
i,1633452030,119057408,36.2498064,-0.533270316,-0.312139365,-11.01892853,0.000694985,0.539486647,-0.019206779,,,,,,,,,,,,
of,1633452030,175270796,36.2672236,,,,0,0,0.001883175,,,19.61729695,11.15056653,0,0,0,0.298803479,0.954314666,0.947916348,0,0
of,1633452030,175270796,36.2672236,,,,0,0,0.001883175,,,19.61729695,11.15056653,0,0,0,0.298803479,0.954314666,0.947916348,0,0
p,1633452030,392046750,36.269032,,,,-0.019310952,7.96E-15,-0.010322138,,,17.12410405,-12.14890576,-1.531750323,0.035670575,-0.005914607,-0.399272868,0.916118881,0.932937988,-0.000441377,-0.047669704
i,1633452030,139063296,36.26981235,0.399491011,-0.366780873,-9.236904824,-0.021305343,0.536182702,-0.012945647,,,,,,,,,,,,
i,1633452030,149063168,36.2798121,0.504684529,-0.401581151,-9.737029936,-0.021331735,0.535374284,-0.011514677,,,,,,,,,,,,
i,1633452030,159065088,36.289814,0.484983913,-0.53587111,-9.900099853,-0.017694335,0.538327038,-0.015787303,,,,,,,,,,,,
i,1633452030,169068800,36.2998178,0.361292176,-0.521869326,-10.27432713,0.003033456,0.537108302,-0.020137994,,,,,,,,,,,,
of,1633452030,208606958,36.30055976,,,,0,0,0.001456113,,,19.64405977,11.16907559,0,0,0,0.298756712,0.954329307,0.959621256,0,0
ho,1633452030,208606844,36.30055976,,,,0,0,-3.36E-14,,,19.69854881,11.23572572,0,0,0,0.299467554,0.954106485,0.963251873,0,0
e,1633452030,208606844,36.30055976,,,,,,,6.056935191,6.056935191,,,,,,,,,,
p,1633452030,425495750,36.30248117,,,,-0.006614437,-0.012531556,-0.017952512,,,17.14540581,-12.17166542,-1.53389282,0.035375717,-0.005779497,-0.399432904,0.916061412,0.904566522,0.01427635,-0.052233915
i,1633452030,179068928,36.30981803,0.016962926,-0.46713729,-10.3532446,0.010451501,0.537767351,-0.021780992,,,,,,,,,,,,
of,1633452030,235265017,36.32721782,,,,0,0,0.001456113,,,19.66506848,11.18365849,0,0,0,0.298775234,0.954323509,0.959044155,0,0
i,1633452030,199075328,36.32982421,-0.157350827,-0.661934069,-9.261838774,0.008775773,0.536657929,-0.008221602,,,,,,,,,,,,
i,1633452030,209076736,36.33982563,-0.303298453,-0.619947423,-8.844656733,0.01047504,0.535132766,0.00140801,,,,,,,,,,,,
of,1633452030,255309820,36.34726262,,,,0,0,0.001456113,,,19.68085666,11.19461853,0,0,0,0.298789162,0.954319148,0.958610219,0,0
of,1633452030,255309820,36.34726262,,,,0,0,0.001456113,,,19.68085666,11.19461853,0,0,0,0.298789162,0.954319148,0.958610219,0,0
i,1633452030,219078656,36.34982753,-0.56558181,-0.470188714,-9.382247945,0.000318812,0.53970325,0.00757639,,,,,,,,,,,,
