Sec,NanoSec,0-ref Sec,X,Y,Z,qX,qY,qZ,qW
1633451995,789777750,1.666763067,-0.109612956,0.133402864,0.073517344,0.018933732,-0.022174048,-0.001281661,0.999574001
1633451995,823206750,1.700191975,-0.1093596,0.133472093,0.072913846,0.018936439,-0.022171736,-0.00140368,0.999573837
1633451995,856644750,1.73363018,-0.109431094,0.13397732,0.072366453,0.018936439,-0.022171736,-0.00140368,0.999573837
1633451995,889690750,1.766675949,-0.10910614,0.13385722,0.071979256,0.018936439,-0.022171736,-0.00140368,0.999573837
1633451995,923243750,1.800229073,-0.10871061,0.133328287,0.0716453,0.018936439,-0.022171736,-0.00140368,0.999573837
1633451995,956712750,1.833698034,-0.107924276,0.134335208,0.071221665,0.018936439,-0.022171736,-0.00140368,0.999573837
1633451996,23160750,1.900146008,-0.127542371,0.157815741,0.070878133,0.019447167,-0.021787431,-0.00238468,0.999570622
1633451996,123307750,2.000293016,-0.130151263,0.160536353,0.070659112,0.018934973,-0.02212991,-0.001330895,0.999574891
1633451996,156578750,2.033564091,-0.131554155,0.161885802,0.070417168,0.018934973,-0.02212991,-0.001330895,0.999574891
1633451996,189681750,2.06666708,-0.161994395,0.172414448,0.059151253,0.020917009,-0.020940996,-0.002714591,0.999558195
1633451996,223301750,2.100286961,-0.186509135,0.180454705,0.03971524,0.02156388,-0.021173231,-0.003352064,0.999537622
1633451996,256636750,2.133622169,-0.188582684,0.183180606,0.037538954,0.02156388,-0.021173231,-0.003352064,0.999537622
1633451996,289753750,2.166738987,-0.189335816,0.185152226,0.036577986,0.02156388,-0.021173231,-0.003352064,0.999537622
1633451996,323212750,2.200198174,-0.189779377,0.186942543,0.035927284,0.02156388,-0.021173231,-0.003352064,0.999537622
1633451996,356612750,2.233597994,-0.190304492,0.188565096,0.035375295,0.02156388,-0.021173231,-0.003352064,0.999537622
1633451996,423035750,2.300021172,-0.189870993,0.190033814,0.035231004,0.02156388,-0.021173231,-0.003352064,0.999537622
1633451996,456503750,2.33348918,-0.189539603,0.191387129,0.035167889,0.02156388,-0.021173231,-0.003352064,0.999537622
1633451996,523051750,2.40003705,-0.189262403,0.192914051,0.035133015,0.021811405,-0.020898584,-0.003463023,0.999537653
1633451996,556756750,2.433742046,-0.189187731,0.193313325,0.034775768,0.022026347,-0.02089555,-0.003631157,0.999532406
1633451996,590067750,2.467053175,-0.189118558,0.193862164,0.034574292,0.022199342,-0.020774163,-0.003624861,0.999531132
1633451996,623054750,2.500040054,-0.188577877,0.194418217,0.034673789,0.02207435,-0.020898443,-0.003508094,0.999531726
1633451996,656623750,2.533609152,-0.188439059,0.194592018,0.034237672,0.022196791,-0.020776858,-0.003502848,0.999531568
1633451996,723189750,2.600175142,-0.188785264,0.195189735,0.033914077,0.022588438,-0.020368841,-0.003697174,0.999530492
1633451996,789956750,2.66694212,-0.194553455,0.193461724,0.017808248,0.022833939,-0.020639814,-0.003820379,0.999518891
1633451996,823027750,2.700013161,-0.207777386,0.1933659,0.002642377,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451996,856500750,2.733486176,-0.209795847,0.192711287,-0.000388762,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451996,923139750,2.800125122,-0.211116696,0.192124635,-0.002207586,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451996,956488750,2.833474159,-0.212366329,0.191903767,-0.0033769,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,23659750,2.900645018,-0.21317425,0.191681585,-0.004324977,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,56507750,2.933493137,-0.21418132,0.19159672,-0.005020835,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,156471750,3.033457041,-0.215952154,0.191596549,-0.00602007,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,190013750,3.066998959,-0.21546306,0.191143243,-0.006072401,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,223420750,3.10040617,-0.215905915,0.191310451,-0.005907593,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,256641750,3.133627176,-0.217162281,0.19187413,-0.005672755,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,327430750,3.204416037,-0.217244467,0.191643562,-0.005441277,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,356696750,3.233682156,-0.217356295,0.191489931,-0.005392988,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,390031750,3.267017126,-0.217465932,0.191444195,-0.005340871,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,423362750,3.300348043,-0.217556731,0.191394557,-0.005284301,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,456501750,3.333487034,-0.217638045,0.191333047,-0.005305185,0.023050631,-0.020845123,-0.004119709,0.999508468
1633451997,490018750,3.367004156,-0.217676048,0.191259921,-0.005334178,0.022928118,-0.02096663,-0.004125067,0.999508722
1633451997,523466750,3.400452137,-0.218489941,0.192058309,-0.005118455,0.022928118,-0.02096663,-0.004125067,0.999508722
1633451997,556588750,3.433573961,-0.219107436,0.192623995,-0.004864345,0.022928118,-0.02096663,-0.004125067,0.999508722
1633451997,590026750,3.467012167,-0.21965494,0.193131956,-0.004480123,0.023142876,-0.020753374,-0.004237797,0.999507752
1633451997,623352750,3.500338078,-0.219447076,0.192670288,-0.004614816,0.023140343,-0.020756199,-0.004115786,0.999508262
1633451997,656791750,3.533776999,-0.219278476,0.192295355,-0.004644732,0.023140343,-0.020756199,-0.004115786,0.999508262
1633451997,691625750,3.568611145,-0.215553209,0.191535002,-0.004645654,0.023718914,-0.020454038,-0.004341003,0.999499976
1633451997,723505750,3.600491047,-0.210225844,0.190814566,-0.004741089,0.024439678,-0.020446287,-0.004782959,0.999480753
1633451997,756771750,3.633757114,-0.205019085,0.190396082,-0.004025796,0.023927759,-0.020924298,-0.004482003,0.999484641
1633451997,789866750,3.666851997,-0.199780164,0.19068219,-0.003048244,0.023373388,-0.021369477,-0.004181155,0.999489644
1633451997,856757750,3.733742952,-0.194026762,0.189674916,-0.00196602,0.021310382,-0.02363815,-0.00338082,0.999487707
1633451998,23421750,3.900407076,-0.143064221,0.211681814,0.010647413,0.021225717,-0.023009388,-0.002514972,0.999506734
1633451998,89842750,3.966828108,-0.136305878,0.21509887,0.014350538,0.021154838,-0.023143747,-0.002569998,0.999504995
1633451998,123360750,4.000345945,-0.119747604,0.214273276,0.019006096,0.02019275,-0.023945673,-0.001962999,0.999507381
1633451998,156791750,4.033776999,-0.111272352,0.213940557,0.021972835,0.020188616,-0.023949159,-0.00179045,0.999507705
1633451998,189885750,4.066871166,-0.103568907,0.213476991,0.024803075,0.0200639,-0.023829394,-0.001668899,0.999513289
1633451998,256753750,4.133738995,-0.088854078,0.212572573,0.029779818,0.020060991,-0.023831843,-0.001546888,0.999513485
1633451998,289924750,4.166910172,-0.081658928,0.212201747,0.031956529,0.020305012,-0.02383222,-0.00154107,0.999508558
1633451998,323171750,4.200157166,-0.075011687,0.211682824,0.03393742,0.020305012,-0.02383222,-0.00154107,0.999508558
1633451998,390186750,4.267172098,-0.06389891,0.207245249,0.033841573,0.020299973,-0.023836513,-0.001329742,0.999508861
1633451998,423400750,4.300385952,-0.053194831,0.203274749,0.033564745,0.020421983,-0.023836675,-0.001326832,0.999506376
1633451998,456850750,4.333836079,-0.042787623,0.198926277,0.033336868,0.01926323,-0.023841725,-0.001031473,0.999529607
1633451998,494212750,4.371198177,-0.030675393,0.194480914,0.032613832,0.018658358,-0.023846863,-0.000746862,0.999541212
1633451998,523451750,4.400437117,-0.018404105,0.190184189,0.031846378,0.017788448,-0.023851788,-0.000468572,0.999557124
1633451998,556885750,4.433871031,-0.00593891,0.18612738,0.031204743,0.017397554,-0.023855365,-0.000266441,0.999563993
1633451998,590731750,4.467717171,0.007632758,0.181946198,0.030578939,0.016636175,-0.023861872,0.00010146,0.99957683
1633451998,623314750,4.500300169,0.021389273,0.177737951,0.029861234,0.016055115,-0.023868017,0.000453854,0.999586087
1633451998,656774750,4.533760071,0.038102734,0.173510135,0.028820105,0.015777167,-0.023749514,0.000660643,0.99959322
1633451998,723288750,4.600274086,0.040529487,0.171888103,0.027989559,0.015777167,-0.023749514,0.000660643,0.99959322
1633451998,823126750,4.700112104,0.042872078,0.1695581,0.026638992,0.015777167,-0.023749514,0.000660643,0.99959322
1633451998,856786750,4.733772039,0.043817914,0.168572746,0.02606133,0.015777167,-0.023749514,0.000660643,0.99959322
1633451998,923198750,4.800184011,0.044672522,0.167681228,0.02553851,0.015777167,-0.023749514,0.000660643,0.99959322
1633451998,990042750,4.867027998,0.045445924,0.166874273,0.02506526,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,23328750,4.900314093,0.046145989,0.166143818,0.024636871,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,56679750,4.933665037,0.046779689,0.165482606,0.024249091,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,92937750,4.969923019,0.047353319,0.164884072,0.02389807,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,156661750,5.03364706,0.048342604,0.163851837,0.023292697,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,190107750,5.067093134,0.04876808,0.163407889,0.023032336,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,223857750,5.100842953,0.049153224,0.163006025,0.022796655,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,290229750,5.167215109,0.049501859,0.162642254,0.022583315,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,323484750,5.200469971,0.049817446,0.162312966,0.022390198,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,356550750,5.233536005,0.050103117,0.162014892,0.022215387,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,390209750,5.267194986,0.050361709,0.161745074,0.022057147,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,423669750,5.300655127,0.050595788,0.161500832,0.021913907,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,493897750,5.370882988,0.050999482,0.161079612,0.021666874,0.015777167,-0.023749514,0.000660643,0.99959322
1633451999,590128750,5.467113972,0.051472535,0.160586021,0.021377399,0.015777167,-0.023749514,0.000660643,0.99959322
